"56","LYNXOS","HAVE_SYS_RESOURCE_H","S_IWGRP","RLIMIT_DATA","LINUX","UTS21","DEFAULT_USER","HPUX","UXPDS","ultrix","SERVER_SUBVERSION","BSD","SEQUENT","S_IXUSR","HAVE_SNPRINTF","S_IROTH","UW","AUX","S_IXGRP","ULTRIX","HAS_APACHE_REGEX_LIB","OSF1","SUPPORT_DBM_REWRITEMAP","FD_CLOEXEC","SCO5","AIX","LONG_STRING_LEN","APACHE_SSL","RLIMIT_VMEM","IRIX","NO","HAS_NDBM_LIB","SUNOS_LIB_PROTOTYPES","S_IWOTH","LOGNAME_MAX","RLIMIT_NPROC","SUNOS4","S_IRUSR","NEXT","ISC","offsetof","QNX","ULTRIX_BRAIN_DEATH","S_ISLNK","SVR4","MAP_ANONYMOUS","SUEXEC_BIN","MAP_ANON","MODULE_MAGIC_NUMBER>=19960725","HPUX10","CORE_PRIVATE","S_IXOTH","DEFAULT_GROUP","CONVEXOS11","S_ISREG","IS_APACHE_12","S_IWUSR","RLIMIT_CPU","CRAY","rlim_t","PARAGON","DGUX","NO_KILLPG","CONVEXOS","S_ISDIR","FALSE","S_IRGRP","CRAY2","INADDR_NONE","SCO","SOLARIS2","91"
"55","false","true","false","false","false","false","true","false","true","true","false","false","true","false","false","false","false","false","true","false","true","true","false","false","true","true","true","true","true","false","true","false","true","false","false","true","false","true","false","false","false","false","true","true","false","true","true","true","false","true","true","true","false","false","true","false","false","false","false","false","false","true","false","true","false","true","true","false","false","true","true","55"
"21","true","true","false","true","false","false","false","true","true","true","true","false","true","false","false","true","true","false","true","true","false","true","true","true","false","true","false","true","false","false","true","false","false","true","true","false","true","false","false","false","false","true","false","false","true","false","true","true","false","false","false","false","false","false","true","true","false","true","true","false","true","false","false","false","false","true","false","true","false","true","false","84"
"62","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","89"
"89","false","true","true","true","true","false","false","true","true","false","false","true","false","true","true","true","false","false","true","false","false","true","false","false","true","true","true","false","false","true","true","false","false","true","false","false","true","true","false","true","true","false","false","false","false","false","true","true","false","false","false","true","false","false","true","false","false","false","false","false","true","false","true","true","true","false","false","true","true","false","true","97"
"28","true","false","true","true","false","false","true","true","false","false","true","true","true","true","false","true","true","false","true","true","false","true","false","false","false","false","false","true","false","true","true","false","false","false","false","true","false","true","true","false","false","false","false","false","true","true","false","false","false","true","false","true","true","false","false","false","false","true","true","true","true","false","false","true","false","false","true","false","false","false","false","43"
"99","true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","true","true","false","false","true","true","false","false","true","true","true","true","true","false","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","true","true","true","true","false","true","false","false","true","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","true","true","14"
"60","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","51"
"35","false","false","true","true","false","false","true","true","true","false","false","true","false","true","false","true","true","false","false","true","true","false","false","false","true","false","true","false","false","true","true","false","false","false","false","true","true","false","false","true","true","false","true","true","false","false","false","false","true","false","false","true","false","true","false","false","true","true","false","true","false","true","true","false","false","true","false","false","true","false","false","69"
"98","true","false","true","false","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","false","false","false","true","false","false","true","false","true","true","true","true","true","false","false","false","true","true","false","false","true","false","true","false","false","true","false","true","false","false","true","false","false","true","true","true","true","false","false","true","false","false","true","false","true","true","true","true","false","true","false","true","89"
"94","false","false","false","false","true","true","true","false","true","false","true","false","true","true","true","true","true","false","false","true","true","true","false","false","false","false","true","true","false","true","true","true","false","true","false","true","false","true","false","true","true","true","false","true","false","true","false","false","false","false","false","true","false","false","false","false","true","true","false","true","false","false","true","true","false","true","true","true","false","false","true","89"
