# ACTS Test Suite Generation: Sun Mar 04 16:50:47 CST 2018
#  * represents don't care value 

# Degree of interaction coverage: 4
# Number of parameters: 76
# Maximum number of values per parameter: 2
# Number of configurations: 119
# ****************************************************
RLIMIT_DATA,AP_DECLARE_DATA,DEFAULT_LIMIT_REQUEST_FIELDSIZE,AUX3,DEFAULT_ERRORLOG,APACHE_ARG_MAX,AP_CONFTREE_H,APACHE_HTTP_MAIN_H,SERVER_CONFIG_FILE,HAVE_TIMES,DEFAULT_LOGLEVEL,DEFAULT_TIMEOUT,APR_CHARSET_EBCDIC,DOXYGEN,APACHE_UTIL_SCRIPT_H,DEFAULT_PATH,DEFAULT_LIMIT_REQUEST_FIELDS,AP_MODULE_DECLARE_STATIC,DEFAULT_KEEPALIVE_TIMEOUT,AP_CORE_DECLARE_NONSTD,AP_HAVE_DESIGNATED_INITIALIZER,AP_TYPES_CONFIG_FILE,APR_HAS_THREADS,APACHE_HTTPD_H,AP_DEFAULT_INDEX,GPROF,AP_HAVE_RELIABLE_PIPED_LOGS,RLIMIT_VMEM,AP_DEBUG,IRIX,DEFAULT_SCOREBOARD,AP_DECLARE_STATIC,AP_FILTER_H,HAVE_SYSLOG,APACHE_UTIL_TIME_H,DEFAULT_LIMIT_REQUEST_LINE,APACHE_SCOREBOARD_H,AP_CORE_DECLARE,DEFAULT_RFC1413,APACHE_HTTP_PROTOCOL_H,RLIMIT_NPROC,OS2,AP_DECLARE_NONSTD,SUNOS4,APACHE_XLATE,AP_MODULE_DECLARE_NONSTD,DYNAMIC_MODULE_LIMIT,RLIMIT_AS,NETWARE,NEXT,APACHE_HTTP_CONFIG_H,HTTPD_ROOT,DEFAULT_TIME_FORMAT,DEFAULT_ACCESS_FNAME,AP_CONFIG_H,SUEXEC_BIN,DEFAULT_CONTENT_TYPE,DEFAULT_KEEPALIVE,CORE_PRIVATE,AP_DECLARE,m68k,AP_MODULE_DECLARE_DATA,NX_CURRENT_COMPILER_RELEASE==410,APACHE_HTTP_LOG_H,AP_DECLARE_EXPORT,WIN32,APR_HAS_OTHER_CHILD,AP_MODULE_DECLARE,BEOS,RLIMIT_CPU,APR_HAS_MMAP,DOCUMENT_LOCATION,LOG_PRIMASK,APACHE_HTTP_CORE_H,AP_MMN_H,DEBUG_SIGSTOP
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
true,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true
true,true,false,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false
true,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true
true,false,true,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false
true,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true
true,false,false,false,false,true,true,false,false,true,true,true,true,false,false,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false
false,true,true,true,false,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false
false,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true
false,true,false,true,true,true,false,false,false,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,false,true,true,false,true,false,true,true,false,true,true,true,false,false,true,false,true,true,false,false,false,true,true,false,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,true,true,true,false,false,false,false,true,false,false
false,true,false,false,false,false,true,true,true,true,false,true,true,true,false,false,false,false,true,true,true,true,false,false,true,false,true,false,false,true,false,true,false,false,true,false,false,false,true,true,false,true,false,false,true,true,true,false,false,true,true,true,false,true,true,false,true,false,true,true,true,false,false,false,false,true,false,false,false,true,true,true,true,false,true,true
false,false,true,true,true,false,true,false,false,true,false,false,false,true,false,true,true,false,true,true,true,false,true,false,true,true,false,false,false,false,true,true,false,true,false,false,false,true,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false,true,false,true,false,false,true,true,true,true,false,false,true,false,true,true,true,true,true,false,true,false,false,true
false,false,true,false,false,true,false,true,true,false,true,true,true,false,true,false,false,true,false,false,false,true,false,true,false,false,true,true,true,true,false,false,true,false,true,true,true,false,true,false,true,true,false,false,false,false,true,true,false,true,false,true,true,false,true,false,true,true,false,false,false,false,true,true,false,true,false,false,false,false,false,true,false,true,true,false
false,false,false,true,false,false,false,false,true,true,true,false,true,true,true,true,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,true,true,true,true,false,true,true,true,false,false,false,false,true,true,false,true,true,false,true,false,false,false,true,false,false,false,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false
false,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,true,true,true,true,false,false,false,true,true,true,true,false,true,true,true,false,false,false,false,true,false,false,false,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,true,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true
false,false,true,true,true,true,false,true,false,true,false,true,true,false,true,false,true,false,true,false,true,true,true,false,false,false,false,false,true,false,true,false,false,false,true,true,false,true,false,true,false,true,false,true,false,false,true,false,true,true,false,false,true,true,true,false,false,false,false,true,true,false,true,true,false,false,false,true,true,true,false,true,true,true,false,false
true,true,true,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,true,true,false,true,false,true,false,true,true,false,true,false,true,false,true,false,true,false,true,true,false,true,false,true,true,false,true,true,false,false,false,false,true,true,true,false,false,true,false,false,true,true,false,true,false,false,true,false,true,false,true,true
false,false,false,true,false,true,true,true,true,false,true,false,false,true,false,true,true,true,true,false,true,true,false,true,false,false,true,false,false,false,false,false,true,true,false,false,false,false,true,true,true,false,true,false,true,true,false,true,false,true,false,false,true,false,true,true,false,false,true,false,true,true,false,true,false,true,true,false,false,false,true,false,false,true,false,true
false,true,false,false,false,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,false,true,false,false,true,true,true,false,false,true,false,false,false,false,true,false,true,false,true,true,false,true,false,true,true,true,false,true,false,false,true,false,true,false,true,false,true,true,false,true,false,false,true,false
true,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,false,true,false,true,false,false,false,true,true,false,true,true,false,false,true,false,false
true,false,true,false,true,false,true,false,true,false,true,true,false,true,false,true,false,true,false,false,false,false,true,false,false,true,false,true,true,true,true,true,false,false,false,true,true,false,false,true,false,true,false,false,true,false,true,false,false,true,false,false,true,true,true,true,false,false,true,false,false,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true
true,true,false,true,false,false,true,false,false,false,false,true,true,false,false,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true,false,true,true,true,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,false,false,false,false,true,true,true,false,true,true,false,true,true
false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,true,false,true,true,true,true,true,false,true,true,false,true,false,false,true,false,false,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,false,false,false,true,true,false,true,true,true,false,true,true,false,false,false,false,false,false,true,false,false,false,false
true,false,false,true,true,true,true,false,false,true,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,true,false,true,true,true,true,false,true,false,true,true,false,false,false,false,false,true,false,true,true,false,true,true,true,false,true,false,false,true,false,true,false,true,true,false,false,true,false,true,true,false,false,true,true,false,false,true,true,false,true
true,false,true,false,false,true,true,true,true,true,false,false,false,false,false,false,true,false,true,false,false,false,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,false,false,true,false,true,true,true,false,false,false,false,false,true,false,true,false,true,true,false,true,true,true,false,false,false,true,true,true,false,false
false,true,false,true,true,false,false,true,true,false,true,true,true,true,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,false,false,false,false,true,true,false,true,false,false,true,true,true,true,true,false,true,true,false,false,false,false,true,false,true,false,true,true,false,false,true,false
