"LYNXOS","APU_HAS_LDAP_NETSCAPE_SSL","RLIMIT_DATA","AP_DECLARE_DATA","DEFAULT_LIMIT_REQUEST_FIELDSIZE","AUX3","DEFAULT_ERRORLOG","SERVER_CONFIG_FILE","DEFAULT_LOGLEVEL","DEFAULT_TIMEOUT","APR_CHARSET_EBCDIC","DOXYGEN","DEFAULT_PATH","DEFAULT_LIMIT_REQUEST_FIELDS","AP_MODULE_DECLARE_STATIC","DEFAULT_KEEPALIVE_TIMEOUT","AP_CORE_DECLARE_NONSTD","UW","AP_HAVE_DESIGNATED_INITIALIZER","AP_TYPES_CONFIG_FILE","APR_HAS_THREADS","APACHE_HTTP_REQUEST_H","APACHE_HTTPD_H","APR_HAS_SHARED_MEMORY","AP_DEFAULT_INDEX","GPROF","AP_HAVE_RELIABLE_PIPED_LOGS","RLIMIT_VMEM","AP_DEBUG","IRIX","AP_DECLARE_STATIC","APU_HAS_LDAP","HAVE_SYSLOG","TPF","DEFAULT_LIMIT_REQUEST_LINE","AP_CORE_DECLARE","DEFAULT_RFC1413","APACHE_HTTP_PROTOCOL_H","RLIMIT_NPROC","OS2","AP_DECLARE_NONSTD","SUNOS4","APACHE_XLATE","AP_MODULE_DECLARE_NONSTD","DYNAMIC_MODULE_LIMIT","RLIMIT_AS","NETWARE","NEXT","APACHE_HTTP_CONFIG_H","HTTPD_ROOT","DEFAULT_ACCESS_FNAME","APU_LDAP_CACHE_H","AP_CONFIG_H","SUEXEC_BIN","DEFAULT_CONTENT_TYPE","DEFAULT_KEEPALIVE","CORE_PRIVATE","AP_DECLARE","AP_MODULE_DECLARE_DATA","UTIL_LDAP_H","APACHE_HTTP_LOG_H","AP_DECLARE_EXPORT","WIN32","APR_HAS_OTHER_CHILD","AP_MODULE_DECLARE","BEOS","RLIMIT_CPU","APR_HAS_MMAP","DOCUMENT_LOCATION","LOG_PRIMASK","APACHE_HTTP_CORE_H","DEBUG_SIGSTOP"
"false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true"
"false","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","false","false","false","true","true","false","true","false","true","true","false","true","false","true","true","false","true","true","true","false","false","true","false","true","true","false","false","false","true","true","false","false","false","true","false","false","true","false","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false"
"false","false","false","true","false","true","true","true","true","false","true","false","false","true","false","true","true","true","true","false","true","true","false","true","false","false","true","false","false","false","false","false","true","true","false","false","false","false","true","true","true","false","true","false","true","true","false","true","false","true","false","false","true","false","true","true","false","false","true","false","true","true","false","true","false","true","true","false","false","false","true","false"
"true","true","true","true","true","false","false","false","true","true","true","true","false","false","false","false","false","true","false","true","true","true","true","true","true","true","true","false","false","false","false","false","true","false","true","true","false","false","false","false","true","false","false","true","true","true","true","true","false","false","true","false","false","true","false","true","true","true","false","false","true","false","true","false","false","false","true","true","false","true","true","false"
"false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","false","true","false","false","true","false","true","true","true","true","true","false","true","true","false","true","false","false","true","false","false","false","false","true","true","true","true","true","true","true","false","true","true","false","true","true","false","false","false","false","false","true","true","false","true","true","true","false","true","true","false","false","false","false","false","false","true"
"false","true","true","false","false","false","true","false","true","true","true","false","false","true","true","false","true","true","false","true","false","true","false","true","true","false","false","true","false","true","true","false","false","false","true","true","false","true","false","false","true","false","false","false","true","false","false","true","true","false","true","false","true","true","true","false","false","false","true","true","true","true","false","true","false","true","true","true","true","false","false","false"
"true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","true","true","false","false","true","true","false","false","true","true","true","true","true","false","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","true","true","true","true","false","true","false","false","true","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","true","true","false"
"false","false","true","false","false","true","true","false","false","false","false","false","true","false","false","true","false","false","true","true","true","true","true","true","false","true","true","true","false","true","false","false","true","true","false","true","false","true","false","false","true","true","true","true","false","false","true","false","false","false","true","false","false","true","true","true","false","true","true","false","true","false","true","false","true","true","false","false","true","false","false","true"
"false","false","false","true","false","true","false","false","true","false","false","true","true","true","false","true","false","true","false","false","true","false","true","true","true","false","true","true","true","true","true","false","false","false","false","true","false","false","true","false","false","false","true","false","true","false","false","true","true","false","true","false","true","true","false","false","true","false","false","true","false","false","false","false","true","true","false","true","false","false","true","true"
"true","false","true","true","true","false","false","false","true","false","false","false","true","false","true","true","true","true","true","true","false","false","false","true","true","false","false","false","true","true","false","false","true","false","false","true","false","true","true","true","false","false","true","false","true","true","false","false","false","true","false","false","false","true","false","true","false","true","false","true","false","false","true","false","false","true","true","true","true","true","true","false"
"true","false","true","true","false","false","true","true","false","false","false","true","true","true","false","false","false","true","false","false","true","false","true","true","false","true","false","false","false","true","true","false","true","false","false","false","true","true","true","false","true","true","false","true","true","false","false","false","true","true","true","false","false","false","true","true","true","true","false","true","true","false","true","false","false","true","true","true","false","true","false","false"
"true","true","false","true","false","false","false","true","true","true","true","false","true","false","false","true","true","false","true","true","false","true","true","true","false","true","false","true","false","false","true","false","false","true","true","false","true","false","false","false","false","true","false","false","true","false","true","true","false","false","false","false","false","false","true","true","false","true","true","false","true","false","false","false","false","true","false","true","false","true","false","false"
"false","true","false","true","true","true","false","false","false","true","false","false","false","true","false","false","false","false","false","true","true","true","false","true","true","false","true","false","true","true","false","false","false","true","false","false","true","false","true","true","true","true","false","true","false","true","true","true","true","true","true","false","true","false","true","true","false","false","true","false","true","false","true","true","true","false","true","true","true","false","true","true"
