"35","CONFIG_HALT","CONFIG_WHOAMI","CONFIG_UNAME","CONFIG_IPTUNNEL","CONFIG_PS","CONFIG_FEATURE_HTTPD_CGI","CONFIG_MD5SUM","CONFIG_SYSLOGD","CONFIG_MOUNT","CONFIG_TAIL","RB_POWER_OFF","CONFIG_TRACEROUTE","CONFIG_ROUTE","CONFIG_CROND","CONFIG_INSTALL_NO_USR","CONFIG_LSMOD","CONFIG_IPROUTE","CONFIG_WATCHDOG","CONFIG_FEATURE_HTTPD_AUTH_MD5","CONFIG_ECHO","CONFIG_NETSTAT","CONFIG_ADDGROUP","CONFIG_FEATURE_GREP_EGREP_ALIAS","CONFIG_CMP","CONFIG_MAKEDEVS","CONFIG_CPIO","CONFIG_PWD","CONFIG_FTPGET","CONFIG_PATCH","MIN","CONFIG_TOP","CONFIG_MKSWAP","CONFIG_SETKEYCODES","CONFIG_FEATURE_GREP_FGREP_ALIAS","CONFIG_TEST","CONFIG_WATCH","CONFIG_FEATURE_HTTPD_BASIC_AUTH","CONFIG_DOS2UNIX","CONFIG_FREE","CONFIG_BASENAME","CONFIG_GETOPT","CONFIG_SYNC","CONFIG_SU","CONFIG_IPLINK","CONFIG_IFUPDOWN","CONFIG_UPTIME","PATH_MAX","CONFIG_MKDIR","CONFIG_LOGNAME","DMALLOC","CONFIG_MSH","CONFIG_TFTP","CONFIG_AR","CONFIG_SWAPONOFF","CONFIG_LAST","CONFIG_VLOCK","CONFIG_SLEEP","CONFIG_START_STOP_DAEMON","CONFIG_PIDFILEHACK","CONFIG_FTPPUT","CONFIG_LASH","CONFIG_RM","CONFIG_FBSET","CONFIG_DU","HTTPD_STANDALONE","CONFIG_TIME","CONFIG_INETD","CONFIG_SULOGIN","CONFIG_HOSTNAME","CONFIG_LOADFONT","CONFIG_FDFORMAT","MAKE_USAGE","CONFIG_GETTY","CONFIG_STTY","CONFIG_LOGIN","CONFIG_UUENCODE","CONFIG_FEATURE_SH_IS_ASH","CONFIG_GREP","CONFIG_IFCONFIG","CONFIG_MSVC","CONFIG_CP","CONFIG_TELNET","CONFIG_XARGS","CONFIG_FEATURE_HTTPD_SET_CGI_VARS_TO_ENV","CONFIG_LOADACM","CONFIG_DD","CONFIG_DC","CONFIG_INSMOD","CONFIG_DF","CONFIG_UNCOMPRESS","SO_REUSEPORT","CONFIG_READLINK","CONFIG_TR","CONFIG_PASSWD","CONFIG_RPM2CPIO","CONFIG_DMESG","2,92","CONFIG_IPCALC","CONFIG_LOSETUP","CONFIG_YES","CONFIG_ADDUSER","CONFIG_FEATURE_HTTPD_RELOAD_CONFIG_SIGHUP","CONFIG_WC","CONFIG_AWK","CONFIG_ADJTIMEX","CONFIG_TELNETD","CONFIG_CLEAR","CONFIG_CHROOT","CONFIG_ENV","CONFIG_DPKG","MAKE_LINKS","CONFIG_MKFS_MINIX","CONFIG_MKFIFO","CONFIG_DUMPKMAP","CONFIG_INIT","CONFIG_FEATURE_HTTPD_USAGE_FROM_INETD_ONLY","CONFIG_FEATURE_BUFFERS_GO_IN_BSS","CONFIG_VI","CONFIG_FREERAMDISK","CONFIG_FEATURE_HTTPD_SETUID","CONFIG_TOUCH","CONFIG_CHMOD","CONFIG_RESET","CONFIG_HTTPD","CONFIG_MINIT","CONFIG_USLEEP","CONFIG_PING6","CONFIG_ARPING","CONFIG_NSLOOKUP","CONFIG_ID","CONFIG_STRINGS","CONFIG_SHA1SUM","CONFIG_CHGRP","CONFIG_KILL","CONFIG_CUT","CONFIG_GZIP","CONFIG_MORE","CONFIG_FEATURE_VERBOSE_USAGE","CONFIG_RUN_PARTS","CONFIG_SED","CONFIG_RDATE","CONFIG_GUNZIP","CONFIG_DELGROUP","MAX","CONFIG_TRUE","CONFIG_DPKG_DEB","CONFIG_PING","CONFIG_BUNZIP2","CONFIG_ASH","CONFIG_UNIX2DOS","CONFIG_SORT","CONFIG_LOADKMAP","CONFIG_LOGGER","CONFIG_FEATURE_BUFFERS_GO_ON_STACK","CONFIG_IP","CONFIG_REBOOT","CONFIG_HEXDUMP","CONFIG_FEATURE_SH_IS_LASH","CONFIG_CRONTAB","CONFIG_UUDECODE","CONFIG_LOGREAD","CONFIG_LENGTH","CONFIG_FDFLUSH","CONFIG_RMMOD","CONFIG_DIRNAME","CONFIG_UNIQ","CONFIG_WGET","CONFIG_WHICH","CONFIG_LS","CONFIG_CHOWN","CONFIG_HDPARM","CONFIG_TAR","CONFIG_PRINTF","CONFIG_FALSE","CONFIG_RENICE","CONFIG_POWEROFF","CONFIG_FIND","CONFIG_FEATURE_SH_IS_HUSH","CONFIG_KILLALL","CONFIG_DATE","CONFIG_DUMPLEASES","CONFIG_PIDOF","CONFIG_NAMEIF","CONFIG_HEAD","CONFIG_PIVOT_ROOT","CONFIG_FEATURE_HTTPD_ENCODE_URL_STR","CONFIG_WHO","CONFIG_UNZIP","CONFIG_FEATURE_HTTPD_CONFIG_WITH_MIME_TYPES","CONFIG_FSCK_MINIX","CONFIG_FEATURE_HTTPD_SET_REMOTE_PORT_TO_ENV","CONFIG_CAT","CONFIG_FEATURE_SH_IS_MSH","CONFIG_KLOGD","CONFIG_OPENVT","CONFIG_LN","CONFIG_CAL","CONFIG_MKNOD","CONFIG_HOSTID","CONFIG_FOLD","CONFIG_EXPR","CONFIG_FEATURE_INITRD","CONFIG_FEATURE_DEVFS","CONFIG_DEALLOCVT","CONFIG_TTY","CONFIG_VCONFIG","CONFIG_UMOUNT","CONFIG_MESG","CONFIG_OD","CONFIG_CHVT","CONFIG_RPM","CONFIG_MT","CONFIG_MV","CONFIG_HUSH","CONFIG_DELUSER","CONFIG_REALPATH","CONFIG_UDHCPD","CONFIG_FDISK","CONFIG_RMDIR","CONFIG_UDHCPC","CONFIG_HWCLOCK","DEBUG","PROTOTYPES","CONFIG_IPADDRESS","CONFIG_NC","CONFIG_TEE","FEATURE_CPU_USAGE_PERCENTAGE","CONFIG_MKTEMP","CONFIG_MODPROBE","68"
"1","true","true","true","true","false","false","false","false","true","true","false","false","false","false","true","true","true","true","true","true","true","true","false","false","false","false","true","true","false","false","true","true","false","false","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","true","true","false","false","true","true","true","true","true","true","false","false","false","true","true","false","true","false","false","true","false","false","false","false","true","true","false","false","true","true","true","true","false","true","true","false","false","false","false","true","true","false","false","false","true","false","false","true","false","true","true","true","false","true","true","false","false","false","true","true","true","false","false","false","true","false","false","true","true","true","true","false","false","true","true","true","false","true","true","false","false","false","false","true","true","false","false","true","false","true","true","false","true","false","true","true","true","true","true","false","false","false","true","true","true","false","false","false","false","true","false","true","false","false","true","false","false","false","false","true","true","true","true","true","false","true","false","false","true","false","false","false","true","true","true","false","false","false","false","true","true","false","true","false","false","true","true","true","false","false","true","true","true","false","false","true","false","true","false","true","true","true","false","false","true","true","false","false","true","true","true","false","true","false","false","true","false","74"
"64","false","false","true","false","true","false","false","true","true","false","true","true","false","true","true","true","false","false","false","true","true","false","true","false","false","true","false","true","false","true","true","true","true","false","true","true","false","true","true","false","true","true","false","true","true","false","true","true","true","true","true","true","false","true","true","false","false","true","true","true","true","true","true","true","false","false","true","false","false","true","false","false","false","true","false","true","true","false","true","false","false","false","false","true","false","true","true","false","true","false","false","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","false","false","true","true","true","false","true","true","false","false","true","false","false","true","true","true","false","false","true","true","false","true","false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","true","true","false","false","true","true","true","false","true","false","false","false","false","false","true","true","true","false","false","false","false","true","true","false","false","false","true","true","true","true","false","true","false","false","true","true","true","true","true","false","false","false","false","false","true","false","true","false","true","false","true","false","true","true","true","true","true","true","false","false","true","false","false","true","false","true","true","true","false","true","false","false","false","true","true","true","false","true","true","true","false","true","12"
"71","false","false","false","false","true","false","true","false","true","false","true","false","false","true","true","true","true","false","false","true","false","true","false","false","false","true","false","false","true","true","true","true","true","true","false","true","true","false","true","false","false","true","true","true","false","true","false","false","true","false","false","true","false","true","false","true","false","false","true","false","true","true","true","false","false","false","true","false","true","false","false","true","false","false","true","true","false","true","true","false","false","false","true","true","true","true","false","true","true","false","true","true","false","true","false","true","true","false","true","true","false","false","false","false","true","true","false","true","false","false","true","true","true","false","false","false","false","true","true","false","false","true","false","false","true","true","true","true","true","false","true","false","false","false","true","false","true","true","false","true","false","false","true","false","true","false","false","true","false","true","true","true","false","false","true","true","true","false","false","false","true","true","false","false","false","true","false","false","true","true","false","false","true","true","false","false","true","false","true","true","true","false","true","true","true","true","false","false","false","true","false","true","false","true","true","true","true","false","true","false","false","true","false","false","false","false","true","true","false","true","false","false","true","false","false","true","true","true","false","false","false","false","true","false","false","true","false","false","true","49"
"50","false","false","false","false","false","false","false","false","false","false","true","true","true","false","true","true","true","true","false","false","false","true","true","false","true","false","true","true","false","false","true","true","false","true","false","true","true","false","false","true","true","true","true","true","true","true","true","false","false","true","true","true","true","false","false","false","false","false","false","true","true","false","false","false","false","true","false","false","false","true","false","false","false","true","false","true","false","true","true","true","true","false","true","true","true","false","true","false","true","false","true","false","true","true","true","false","true","true","false","true","true","true","false","true","false","false","true","false","true","true","false","false","true","false","false","true","false","true","false","false","false","true","true","false","true","false","false","true","false","true","true","false","true","false","true","false","false","false","false","true","false","true","false","true","false","false","false","false","true","true","true","true","true","true","true","false","false","false","true","false","true","false","false","false","false","true","false","true","true","false","false","true","false","true","false","true","true","false","true","true","false","true","false","false","false","true","true","true","false","true","true","false","true","false","true","false","false","true","false","true","true","true","false","false","true","false","true","true","true","false","false","false","true","false","true","false","true","true","true","false","false","false","true","true","true","false","false","true","false","9"
"53","false","false","true","false","false","false","false","true","false","true","false","false","true","false","false","false","true","true","false","false","true","true","true","false","false","true","false","false","false","false","false","false","true","true","true","false","true","true","true","false","false","false","true","false","false","false","false","true","false","true","false","true","true","true","false","false","true","false","true","true","false","true","false","false","false","false","true","true","true","true","true","false","true","true","true","false","false","false","false","false","true","false","true","false","false","false","true","true","false","true","false","true","false","false","false","true","true","false","true","false","true","true","false","true","true","true","false","false","true","true","false","true","true","false","false","true","false","true","true","false","false","true","true","false","false","false","true","false","true","false","true","true","false","false","true","true","false","true","true","true","false","true","true","true","true","false","false","false","true","true","true","true","false","false","false","false","true","false","false","true","true","false","true","false","true","true","true","true","false","true","false","true","false","true","true","false","false","true","true","false","false","false","false","false","false","false","true","true","false","true","false","false","false","true","true","true","false","true","false","true","false","false","false","true","true","false","false","true","true","true","true","false","false","false","true","true","false","false","true","true","false","true","true","true","true","true","true","true","true","80"
"99","true","true","true","true","false","false","false","false","true","false","true","true","true","true","false","false","false","true","false","false","false","true","true","true","true","false","false","false","true","true","false","true","false","false","true","true","false","false","true","true","true","false","true","true","false","false","true","true","true","false","true","false","false","true","true","true","false","true","false","false","true","false","false","false","false","false","true","true","true","true","false","true","false","false","true","false","true","false","false","true","false","false","true","false","false","true","false","true","true","true","false","true","true","false","true","false","false","true","true","false","false","true","true","true","false","true","true","false","true","true","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","true","false","true","true","true","true","false","false","false","true","true","false","true","true","true","true","false","false","true","true","true","true","false","true","false","false","true","true","true","true","false","false","false","false","true","false","false","false","true","false","true","true","false","false","false","false","true","false","false","true","true","true","true","false","true","true","true","true","true","true","false","false","true","false","false","false","false","false","true","true","false","true","false","false","true","false","false","true","true","false","false","false","false","false","false","true","true","false","false","true","false","true","true","false","true","true","true","true","true","false","true","true","true","true","24"
"37","false","false","false","false","false","false","true","true","false","true","true","false","true","true","false","true","true","false","true","false","false","true","true","true","false","false","false","false","true","true","true","true","true","false","true","true","true","false","true","true","true","false","true","false","true","true","false","false","false","false","false","true","false","true","true","false","false","false","false","false","false","false","true","false","false","true","true","false","false","false","false","true","false","true","false","true","false","true","false","false","false","false","true","false","true","true","true","false","false","true","true","false","true","true","true","false","false","true","true","true","false","true","false","true","false","false","true","true","true","false","true","true","false","true","false","false","true","false","false","true","true","false","true","false","true","true","false","false","true","false","true","false","true","true","false","true","true","true","true","true","false","true","true","false","true","true","false","false","false","false","true","true","false","true","true","false","false","true","false","false","false","false","false","false","false","true","false","true","false","false","true","true","true","true","true","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","true","false","true","true","true","false","false","true","true","true","false","true","false","false","false","true","true","true","true","false","true","true","true","true","false","true","true","true","false","41"
"42","true","false","false","true","true","false","true","false","true","false","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","true","false","false","true","false","false","true","false","false","false","false","false","false","true","false","true","true","true","true","false","false","true","true","true","false","true","true","true","true","true","true","true","false","false","true","false","false","true","false","false","false","false","false","true","true","false","true","true","false","false","false","false","true","true","true","false","true","false","false","true","true","true","true","true","false","false","false","false","true","false","false","false","true","false","true","false","true","true","false","true","false","false","false","true","false","false","true","true","false","false","true","false","true","false","false","true","false","false","false","false","false","false","true","true","false","true","true","false","false","false","false","true","false","true","false","true","false","true","true","false","true","false","false","true","true","true","true","false","true","false","true","true","false","true","true","true","true","false","true","true","false","false","false","false","false","true","true","true","true","false","false","true","false","true","false","true","true","true","true","false","true","true","true","false","false","false","false","true","false","true","true","false","true","false","true","true","false","true","true","false","true","false","false","true","false","false","false","true","true","true","true","false","true","false","false","false","true","true","false","false","true","false","true","true","62"
"56","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","22"
"34","false","true","false","false","true","false","true","true","true","false","true","false","true","false","false","false","false","true","false","true","false","false","true","true","false","false","true","true","false","true","true","true","true","false","false","false","true","true","false","true","false","true","true","true","false","false","true","true","true","false","false","true","true","true","true","false","true","true","false","false","true","false","true","true","false","true","true","false","false","false","true","false","false","false","false","false","false","true","true","false","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","false","true","false","true","true","true","true","true","false","true","true","true","false","false","false","false","false","true","false","false","true","false","false","true","true","false","false","true","false","false","true","false","true","false","true","false","true","true","true","true","false","true","true","true","true","true","false","true","false","true","false","false","true","true","true","false","true","false","false","false","true","true","false","true","false","false","true","false","false","true","false","true","true","false","false","true","true","false","true","false","true","false","true","false","false","true","false","false","true","true","false","false","false","true","true","true","false","true","false","true","true","false","false","false","false","false","true","false","true","true","true","false","false","false","true","true","false","true","false","false","true","false","true","false","true","false","true","true","false","true","false","false","true","14"
