"CONFIG_FEATURE_LS_FOLLOWLINKS","MAX","CONFIG_FEATURE_LS_SORTFILES","CONFIG_FEATURE_TOP_CPU_USAGE_PERCENTAGE","CONFIG_FEATURE_LS_USERNAME","CONFIG_FEATURE_DEVFS","COMM_LEN","TASK_COMM_LEN","RB_POWER_OFF","CONFIG_FEATURE_LS_TIMESTAMPS","CONFIG_SELINUX","CONFIG_INSTALL_NO_USR","CONFIG_FEATURE_LS_COLOR","CONFIG_LOCALE_SUPPORT","CONFIG_FEATURE_BUFFERS_GO_ON_STACK","MAKE_LINKS","CONFIG_FEATURE_LS_COLOR_IS_DEFAULT","CONFIG_FEATURE_LS_FILETYPES","PATH_MAX","BB_STRLEN_IMPLEMENTATION","CONFIG_FEATURE_HUMAN_READABLE","PROTOTYPES","MIN","CONFIG_FEATURE_BUFFERS_GO_IN_BSS","CONFIG_FEATURE_LS_RECURSIVE","CONFIG_FEATURE_AUTOWIDTH","BUFSIZ"
"true","false","false","true","true","false","false","true","true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","false","false","true","true"
"false","false","true","false","false","true","true","false","false","false","false","false","true","false","false","true","false","false","true","true","true","true","true","true","false","true","true"
"true","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false"
"false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","false","true","false","false","true","false","true","true","true","true","true","false"
"true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","true","true","false","false","true","true","false","false","true","true","true","true"
"false","true","false","false","true","false","true","true","false","false","false","false","false","false","false","false","true","true","false","true","true","true","true","false","false","false","false"
"false","true","true","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","false","true","true"
"true","false","false","false","false","true","true","true","false","false","true","false","true","true","true","false","false","true","true","true","false","true","true","false","true","false","false"
"true","true","true","true","false","true","false","true","true","false","true","false","true","false","false","true","true","false","true","true","true","true","true","false","false","true","false"
"true","true","false","false","false","false","false","true","false","true","true","true","true","true","false","false","false","false","true","true","false","false","true","false","false","true","false"
"true","true","false","true","false","false","true","false","false","false","false","true","true","false","false","true","true","true","true","false","true","true","false","false","false","true","true"
"false","false","false","true","false","false","false","false","false","true","true","false","true","false","false","false","true","true","true","true","false","true","true","true","false","true","false"
"true","true","false","false","false","false","true","true","false","true","true","true","false","false","true","false","true","false","false","true","true","false","false","false","false","true","false"
"false","false","false","false","true","true","true","false","true","false","true","false","true","true","true","true","true","false","false","true","true","true","false","false","false","false","true"
"true","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true"
"false","false","false","false","true","false","true","true","true","false","true","true","true","false","false","false","true","false","false","true","false","false","true","false","false","true","true"
