"5","CONFIG_FEATURE_LS_FOLLOWLINKS","MAX","CONFIG_FEATURE_LS_SORTFILES","CONFIG_FEATURE_TOP_CPU_USAGE_PERCENTAGE","CONFIG_FEATURE_LS_USERNAME","CONFIG_FEATURE_DEVFS","COMM_LEN","TASK_COMM_LEN","RB_POWER_OFF","CONFIG_FEATURE_LS_TIMESTAMPS","CONFIG_SELINUX","CONFIG_INSTALL_NO_USR","CONFIG_FEATURE_LS_COLOR","CONFIG_LOCALE_SUPPORT","CONFIG_FEATURE_BUFFERS_GO_ON_STACK","MAKE_LINKS","CONFIG_FEATURE_LS_COLOR_IS_DEFAULT","CONFIG_FEATURE_LS_FILETYPES","PATH_MAX","BB_STRLEN_IMPLEMENTATION","CONFIG_FEATURE_HUMAN_READABLE","PROTOTYPES","MIN","CONFIG_FEATURE_BUFFERS_GO_IN_BSS","CONFIG_FEATURE_LS_RECURSIVE","CONFIG_FEATURE_AUTOWIDTH","BUFSIZ","56"
"57","true","false","false","true","true","false","false","true","true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","false","false","true","true","22"
"35","false","false","true","false","false","true","true","false","false","false","false","false","true","false","false","true","false","false","true","true","true","true","true","true","false","true","true","85"
"82","true","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","69"
"47","false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","false","true","false","false","true","false","true","true","true","true","true","false","29"
"4","true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","true","true","false","false","true","true","false","false","true","true","true","true","41"
"74","false","true","false","false","true","false","true","true","false","false","false","false","false","false","false","false","true","true","false","true","true","true","true","false","false","false","false","32"
"51","false","true","true","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","false","true","true","93"
"28","true","false","false","false","false","true","true","true","false","false","true","false","true","true","true","false","false","true","true","true","false","true","true","false","true","false","false","14"
"51","true","true","true","true","false","true","false","true","true","false","true","false","true","false","false","true","true","false","true","true","true","true","true","false","false","true","false","10"
"35","true","true","false","false","false","false","false","true","false","true","true","true","true","true","false","false","false","false","true","true","false","false","true","false","false","true","false","27"
"7","true","true","false","true","false","false","true","false","false","false","false","true","true","false","false","true","true","true","true","false","true","true","false","false","false","true","true","74"
"72","false","false","false","true","false","false","false","false","false","true","true","false","true","false","false","false","true","true","true","true","false","true","true","true","false","true","false","56"
"58","true","true","false","false","false","false","true","true","false","true","true","true","false","false","true","false","true","false","false","true","true","false","false","false","false","true","false","86"
"66","false","false","false","false","true","true","true","false","true","false","true","false","true","true","true","true","true","false","false","true","true","true","false","false","false","false","true","54"
"8","true","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","14"
"3","false","false","false","false","true","false","true","true","true","false","true","true","true","false","false","false","true","false","false","true","false","false","true","false","false","true","true","74"
"23","false","false","false","false","true","true","true","true","false","false","false","true","false","false","false","false","true","true","true","true","false","false","false","true","true","true","true","72"
"62","false","true","true","false","true","true","false","true","true","false","false","false","true","true","true","true","true","true","false","true","true","false","false","false","false","false","true","25"
"11","false","true","false","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","true","true","true","false","false","true","false","true","76"
"66","false","true","false","false","false","true","false","false","true","true","false","false","false","false","true","true","false","true","true","true","false","false","true","false","true","false","true","56"
"44","true","true","true","false","true","false","false","false","false","false","true","false","false","false","false","false","false","true","true","true","false","true","false","true","false","true","true","88"
"39","true","false","true","true","false","false","true","true","false","false","false","true","true","true","false","false","false","true","false","false","true","false","true","true","false","true","false","37"
"47","true","true","true","false","false","false","false","false","false","true","true","true","true","true","false","true","true","false","false","true","true","false","false","true","false","false","true","24"
"9","true","false","false","true","true","true","false","false","false","false","true","false","true","true","false","true","false","false","true","true","false","true","false","true","true","true","true","91"
"87","true","true","false","false","false","true","false","false","true","false","true","false","false","true","false","false","false","true","true","false","true","false","true","true","false","true","false","52"
"51","false","true","true","true","true","true","true","false","true","false","true","true","true","false","false","true","false","true","true","true","true","true","true","true","false","false","false","50"
"38","false","false","true","true","false","false","false","false","false","false","true","true","true","true","false","false","false","true","true","true","false","false","false","false","true","false","true","64"
"75","false","false","false","true","false","true","false","false","true","false","false","true","true","true","false","true","false","true","false","false","true","false","true","true","true","false","true","38"
"84","true","false","true","false","false","true","true","true","false","false","true","true","true","false","false","false","true","true","false","true","true","false","true","false","true","true","true","54"
"83","false","false","true","true","true","true","true","false","true","false","true","false","true","false","false","false","false","false","false","true","false","false","false","false","false","true","false","90"
"8","false","false","true","false","false","true","true","true","true","true","true","true","true","true","true","false","true","false","true","true","false","true","false","false","false","true","false","40"
"53","true","false","true","true","true","false","false","false","true","false","false","false","true","false","true","true","true","true","true","true","false","false","false","true","true","false","false","25"
"97","false","false","false","true","false","true","true","true","true","false","true","false","false","true","false","true","true","true","true","false","true","true","false","true","false","false","true","43"
"67","true","true","true","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","true","false","false","false","false","true","true","false","24"
"44","true","false","false","true","true","true","true","false","false","true","true","false","false","false","true","false","false","false","false","true","true","true","false","true","false","false","true","96"
"25","true","false","false","false","true","true","false","true","true","true","true","true","false","true","true","true","true","false","true","true","true","false","false","false","false","false","false","55"
"30","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","67"
"64","false","true","false","true","false","true","false","false","false","true","false","true","false","false","false","false","true","true","true","false","false","true","false","false","false","false","true","34"
"46","true","false","false","true","true","false","false","true","false","true","false","true","false","true","false","true","false","false","true","true","true","true","true","true","true","false","false","24"
"11","false","true","false","false","false","true","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false","false","false","true","true","true","false","12"
"9","true","true","false","false","false","true","false","true","true","false","true","false","true","false","true","true","true","true","false","false","false","true","true","false","true","true","true","26"
"70","false","false","true","false","false","true","false","true","true","false","true","true","true","false","true","false","false","true","false","false","false","true","false","true","false","false","true","28"
"40","true","true","false","true","false","true","false","true","false","true","false","false","true","true","true","false","true","false","false","false","false","false","false","true","true","false","true","5"
"97","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","true","true","true","false","true","false","false","true","false","true","false","false","21"
"81","true","true","true","true","true","true","true","false","true","false","false","true","true","true","true","false","false","false","true","false","false","false","true","true","false","false","false","59"
"81","false","true","true","false","false","false","true","false","true","true","true","false","false","true","true","false","true","true","false","true","false","true","false","true","true","false","false","83"
"16","true","false","true","true","false","false","true","true","false","false","false","false","false","false","true","true","true","true","true","false","true","true","false","false","true","false","false","56"
"23","false","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","false","false","false","true","true","false","true","false","55"
"46","false","false","false","true","false","false","false","true","true","true","false","true","false","false","true","false","true","true","false","false","true","false","false","false","true","true","false","38"
"38","false","false","false","true","false","false","false","false","true","true","true","false","true","true","true","true","false","false","false","false","true","true","true","false","false","false","false","68"
"63","true","false","true","false","false","true","true","true","true","true","false","false","false","false","false","false","true","false","true","false","false","false","true","true","false","true","false","48"
"3","false","true","true","true","true","true","false","true","false","true","true","false","false","true","true","false","false","false","false","true","false","true","true","false","false","false","true","2"
"47","false","false","true","true","true","false","true","true","false","false","false","false","false","true","false","false","true","false","true","false","false","false","false","true","false","false","true","79"
"32","false","false","false","false","true","false","false","false","true","true","false","true","false","false","false","true","false","false","true","false","false","true","false","true","false","true","false","74"
"47","false","false","true","true","true","false","true","false","false","true","false","false","false","true","false","true","true","false","true","true","true","false","true","false","true","true","false","81"
"28","true","true","false","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","30"
"35","true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","false","false","66"
"14","true","false","true","false","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","false","false","false","true","false","false","true","false","14"
"52","true","false","true","false","false","false","false","false","false","true","true","true","false","true","true","false","true","true","true","false","false","false","true","false","false","true","true","7"
"92","false","true","false","true","true","false","false","true","true","false","true","true","true","true","false","false","true","false","false","false","false","false","false","true","true","false","false","71"
"61","true","false","false","false","true","false","true","true","false","true","false","true","true","false","true","true","false","true","false","false","false","true","true","false","true","false","true","9"
"65","false","false","true","true","false","false","true","false","true","true","true","false","true","false","true","true","false","true","true","false","false","false","false","true","false","true","true","30"
"43","false","true","false","true","true","true","false","false","false","false","true","false","true","false","false","false","false","false","false","false","false","true","false","false","true","true","true","61"
"44","true","true","true","true","true","false","true","true","true","true","false","false","true","false","false","true","false","true","false","false","false","true","true","true","false","false","true","64"
"24","false","true","false","false","true","true","true","false","false","true","true","true","true","true","true","false","false","true","false","false","true","false","true","true","false","true","true","47"
"16","true","false","false","true","true","false","true","true","true","false","true","false","false","true","true","true","true","false","true","false","false","true","false","true","true","false","true","24"
"45","false","false","true","true","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","true","true","true","false","false","false","false","20"
"26","true","true","true","false","true","true","false","false","false","false","false","true","false","true","true","true","true","true","true","false","true","true","true","true","true","false","false","80"
"50","false","true","true","false","true","false","true","false","true","true","false","true","false","false","true","false","true","true","false","false","true","true","false","true","false","true","true","14"
"94","true","false","true","true","true","true","true","false","true","true","true","false","true","false","true","false","true","true","false","true","false","true","true","false","true","true","false","84"
"13","false","true","true","true","true","false","false","true","true","false","false","true","false","true","true","true","false","false","true","false","false","true","false","false","true","true","true","48"
"28","true","true","true","true","true","false","false","false","true","true","true","true","false","false","false","false","false","true","false","true","true","true","true","true","true","true","true","59"
"83","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","35"
"4","true","true","true","true","false","true","true","true","true","true","true","false","true","false","false","false","false","false","true","false","true","true","false","true","true","false","false","85"
"90","false","true","true","true","false","true","true","true","false","true","true","false","false","false","true","false","false","false","true","false","true","false","false","false","true","true","true","91"
"59","false","false","true","false","false","true","false","true","false","true","true","true","false","true","false","true","false","false","false","false","true","true","true","false","true","true","true","27"
"21","true","false","true","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","8"
"28","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","true","false","false","75"
