# ACTS Test Suite Generation: Tue Feb 20 21:16:58 CST 2018
#  * represents don't care value 

# Degree of interaction coverage: 4
# Number of parameters: 15
# Maximum number of values per parameter: 2
# Number of configurations: 58
# ****************************************************
CONFIG_FEATURE_BUFFERS_GO_ON_STACK,SIGCLD,"2,92",MAX,PATH_MAX,DMALLOC,CONFIG_FEATURE_DEVFS,CONFIG_FEATURE_ROTATE_LOGFILE,RB_POWER_OFF,MIN,CONFIG_FEATURE_BUFFERS_GO_IN_BSS,CONFIG_FEATURE_REMOTE_LOG,BB_EXTRA_VERSION,CONFIG_FEATURE_IPC_SYSLOG,FEATURE_CPU_USAGE_PERCENTAGE
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,false,false,false,false,false,false,false,false,false,false,false,false
true,true,false,true,false,true,false,true,false,true,false,true,false,true,false
true,true,false,false,true,false,true,false,true,false,true,false,true,false,true
true,false,true,true,false,false,true,true,false,false,true,true,false,false,true
true,false,true,false,true,true,false,false,true,true,false,false,true,true,false
true,false,false,true,true,false,false,true,true,false,false,false,false,true,true
true,false,false,false,false,true,true,false,false,true,true,true,true,false,false
false,true,true,true,false,true,true,false,true,false,false,true,false,true,true
false,true,true,false,true,false,false,true,false,true,true,false,true,false,false
false,true,false,true,true,true,false,false,false,false,true,false,false,false,true
false,true,false,false,false,false,true,true,true,true,false,true,true,true,false
false,false,true,true,true,false,true,false,false,true,false,false,false,true,false
false,false,true,false,false,true,false,true,true,false,true,true,true,false,true
false,false,false,true,false,false,false,false,true,true,true,false,true,true,true
false,false,false,false,true,true,true,true,false,false,false,true,false,false,false
false,false,true,true,true,true,false,true,false,true,false,true,true,false,true
true,true,true,false,true,true,true,true,false,false,false,false,true,true,true
false,false,false,true,false,true,true,true,true,false,true,false,false,true,false
false,true,false,false,false,true,false,false,true,true,false,false,false,false,true
true,true,true,true,true,false,false,false,true,true,true,true,false,false,false
true,false,true,false,true,false,true,false,true,false,true,true,false,true,false
true,true,false,true,false,false,true,false,false,false,false,true,true,false,false
false,false,false,false,false,false,false,true,false,false,false,false,true,true,true
true,false,false,true,true,true,true,false,false,true,true,false,false,false,true
true,false,true,false,false,true,true,true,true,true,false,false,false,false,false
false,true,false,true,true,false,false,true,true,false,true,true,true,true,false
false,false,true,true,false,false,false,false,false,false,true,true,true,true,false
true,false,false,false,true,true,false,true,true,true,true,true,false,true,true
false,true,false,false,true,true,true,false,false,true,true,true,true,true,true
false,true,true,false,false,false,true,false,true,true,true,false,false,true,true
true,false,false,false,true,false,true,true,false,true,false,true,true,false,true
true,true,true,true,false,true,false,true,true,false,true,false,true,false,false
true,false,false,false,false,false,false,false,true,false,false,true,false,false,true
false,true,true,true,false,true,true,true,false,true,true,false,false,false,true
true,true,true,true,true,false,true,true,true,true,false,false,true,false,false
true,true,true,false,true,true,false,false,false,false,false,true,false,true,true
false,false,true,false,false,true,true,false,false,false,false,false,true,false,false
false,false,true,true,true,true,true,false,true,false,true,false,true,false,false
false,false,false,false,true,false,false,false,true,true,false,true,false,false,false
true,false,true,false,false,false,false,false,false,true,true,true,false,true,true
false,true,false,false,true,false,true,true,false,false,false,false,false,false,false
true,false,false,false,false,true,true,true,false,false,true,false,true,true,true
true,true,false,false,false,false,true,true,false,true,true,true,false,false,true
false,false,false,true,false,true,false,false,true,false,false,true,true,true,false
true,true,false,true,false,true,false,true,false,true,false,false,true,true,true
false,true,true,true,true,false,false,true,true,false,false,true,false,true,true
true,true,true,false,false,false,false,false,false,true,true,true,true,true,false
false,true,false,true,true,true,true,true,true,true,true,true,false,false,false
true,false,false,true,true,false,true,false,false,false,true,false,true,true,false
false,false,false,true,false,false,false,false,false,true,false,false,true,false,false
false,false,false,true,true,false,false,true,true,false,false,true,false,false,true
true,true,false,false,false,true,true,false,true,false,false,false,false,true,false
true,false,true,true,false,true,false,true,false,true,true,true,false,true,false
false,false,true,true,false,false,false,false,true,false,false,false,true,false,true
false,false,true,false,true,false,false,true,true,true,false,true,true,true,false
false,false,true,true,true,false,true,true,true,true,false,true,false,false,true
false,true,true,true,false,true,true,false,true,false,false,false,false,true,false
