"CONFIG_FEATURE_BUFFERS_GO_ON_STACK","SIGCLD","2,92","MAX","PATH_MAX","DMALLOC","CONFIG_FEATURE_DEVFS","CONFIG_FEATURE_ROTATE_LOGFILE","RB_POWER_OFF","MIN","CONFIG_FEATURE_BUFFERS_GO_IN_BSS","CONFIG_FEATURE_REMOTE_LOG","BB_EXTRA_VERSION","CONFIG_FEATURE_IPC_SYSLOG","FEATURE_CPU_USAGE_PERCENTAGE"
"true","true","true","false","false","false","false","false","false","false","false","false","false","false","false"
"true","true","false","false","true","false","true","false","true","false","true","false","true","false","true"
"true","false","true","false","true","true","false","false","true","true","false","false","true","true","false"
"true","false","false","false","false","true","true","false","false","true","true","true","true","false","false"
"false","true","true","true","false","true","true","false","true","false","false","true","false","true","true"
"false","true","false","true","true","true","false","false","false","false","true","false","false","false","true"
"false","false","true","true","true","false","true","false","false","true","false","false","false","true","false"
"false","false","false","true","false","false","false","false","true","true","true","false","true","true","true"
"false","true","false","false","false","true","false","false","true","true","false","false","false","false","true"
"true","true","true","true","true","false","false","false","true","true","true","true","false","false","false"
"true","false","true","false","true","false","true","false","true","false","true","true","false","true","false"
"true","true","false","true","false","false","true","false","false","false","false","true","true","false","false"
"true","false","false","true","true","true","true","false","false","true","true","false","false","false","true"
"false","false","true","true","false","false","false","false","false","false","true","true","true","true","false"
"false","true","false","false","true","true","true","false","false","true","true","true","true","true","true"
"false","true","true","false","false","false","true","false","true","true","true","false","false","true","true"
"true","false","false","false","false","false","false","false","true","false","false","true","false","false","true"
"true","true","true","false","true","true","false","false","false","false","false","true","false","true","true"
"false","false","true","false","false","true","true","false","false","false","false","false","true","false","false"
"false","false","true","true","true","true","true","false","true","false","true","false","true","false","false"
"false","false","false","false","true","false","false","false","true","true","false","true","false","false","false"
"true","false","true","false","false","false","false","false","false","true","true","true","false","true","true"
"false","false","false","true","false","true","false","false","true","false","false","true","true","true","false"
"true","true","true","false","false","false","false","false","false","true","true","true","true","true","false"
"true","false","false","true","true","false","true","false","false","false","true","false","true","true","false"
"false","false","false","true","false","false","false","false","false","true","false","false","true","false","false"
"true","true","false","false","false","true","true","false","true","false","false","false","false","true","false"
"false","false","true","true","false","false","false","false","true","false","false","false","true","false","true"
"false","true","true","true","false","true","true","false","true","false","false","false","false","true","false"
"true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"true","true","false","true","false","true","false","true","false","true","false","true","false","true","false"
"true","false","true","true","false","false","true","true","false","false","true","true","false","false","true"
"true","false","false","true","true","false","false","true","true","false","false","false","false","true","true"
"false","true","true","false","true","false","false","true","false","true","true","false","true","false","false"
"false","true","false","false","false","false","true","true","true","true","false","true","true","true","false"
"false","false","true","false","false","true","false","true","true","false","true","true","true","false","true"
"false","false","false","false","true","true","true","true","false","false","false","true","false","false","false"
"false","false","true","true","true","true","false","true","false","true","false","true","true","false","true"
"true","true","true","false","true","true","true","true","false","false","false","false","true","true","true"
"false","false","false","true","false","true","true","true","true","false","true","false","false","true","false"
"false","false","false","false","false","false","false","true","false","false","false","false","true","true","true"
"true","false","true","false","false","true","true","true","true","true","false","false","false","false","false"
"false","true","false","true","true","false","false","true","true","false","true","true","true","true","false"
"true","false","false","false","true","true","false","true","true","true","true","true","false","true","true"
"true","false","false","false","true","false","true","true","false","true","false","true","true","false","true"
"true","true","true","true","false","true","false","true","true","false","true","false","true","false","false"
"false","true","true","true","false","true","true","true","false","true","true","false","false","false","true"
"true","true","true","true","true","false","true","true","true","true","false","false","true","false","false"
"false","true","false","false","true","false","true","true","false","false","false","false","false","false","false"
"true","false","false","false","false","true","true","true","false","false","true","false","true","true","true"
"true","true","false","false","false","false","true","true","false","true","true","true","false","false","true"
"true","true","false","true","false","true","false","true","false","true","false","false","true","true","true"
"false","true","true","true","true","false","false","true","true","false","false","true","false","true","true"
"false","true","false","true","true","true","true","true","true","true","true","true","false","false","false"
"false","false","false","true","true","false","false","true","true","false","false","true","false","false","true"
"true","false","true","true","false","true","false","true","false","true","true","true","false","true","false"
"false","false","true","false","true","false","false","true","true","true","false","true","true","true","false"
"false","false","true","true","true","false","true","true","true","true","false","true","false","false","true"
