"WANT_PIDFILE","UINT_MAX==ULLONG_MAX","ULONG_MAX==ULLONG_MAX","ENABLE_FEATURE_DEVFS","MAX","COMM_LEN","ENABLE_FEATURE_BUFFERS_GO_IN_BSS","TASK_COMM_LEN","ENABLE_SELINUX","CONFIG_FEATURE_EDITING_HISTORY","RB_POWER_OFF","ENABLE_FEATURE_TOPMEM","ENABLE_FEATURE_PIDFILE","ENABLE_FEATURE_PREFER_APPLETS","ENABLE_FEATURE_INDIVIDUAL","BB_MMU","ENABLE_FEATURE_IPV6","ENABLE_FEATURE_MDEV_RENAME","BUILD_INDIVIDUAL","ENABLE_FEATURE_EDITING","PATH_MAX","MAX_HISTORY","ENABLE_FEATURE_BUFFERS_GO_ON_STACK","ENABLE_ROUTE","ENABLE_LOCALE_SUPPORT","MIN","ENABLE_FEATURE_MDEV_RENAME_REGEXP","ENABLE_FEATURE_CHECK_NAMES","ENABLE_GETOPT_LONG","ENABLE_USE_BB_CRYPT","ENABLE_FEATURE_HWIB","ENABLE_IOCTL_HEX2STR_ERROR","UINT_MAX==ULONG_MAX","HAVE_MNTENT_H","BUFSIZ"
"true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false"
"false","false","true","true","true","false","true","false","false","true","false","false","false","true","false","true","true","false","true","true","true","false","true","false","true","true","false","false","false","false","true","true","false","true","false"
"false","false","false","true","false","false","false","false","true","true","true","false","true","true","true","true","false","false","false","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true"
"false","false","true","true","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","true","true","true","false","false","false","false","false","true","false","true","false","false","false","true"
"true","true","true","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","true","false","false","false","false","true","true","false","true","false","true","false","true","true","false","true"
"false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","false","true","false","false","true","false","true","true","true","true","true","false","true","true","false","true","false","false","true","false"
"true","false","true","false","false","true","true","true","true","true","false","false","false","false","false","false","true","false","true","false","false","false","true","true","false","true","false","true","false","false","false","true","true","true","true"
"false","true","false","true","true","false","false","true","true","false","true","true","true","true","false","false","true","false","false","false","false","false","false","true","true","false","false","false","false","true","true","true","true","true","true"
"true","false","false","false","true","true","false","true","true","true","true","true","false","true","true","true","true","false","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"true","true","true","true","false","true","false","true","true","false","true","false","true","false","false","true","true","false","true","true","true","true","true","false","false","true","false","false","true","true","true","false","false","false","false"
"false","false","true","true","true","true","true","false","true","false","true","false","true","false","false","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","true","false","true","true","true"
"false","false","false","false","true","false","false","false","true","true","false","true","false","false","false","true","false","false","true","false","false","true","false","true","false","true","false","false","true","false","false","true","true","false","true"
"true","true","false","false","false","false","true","true","false","true","true","true","false","false","true","false","true","false","false","true","true","false","false","false","false","true","false","true","true","false","true","false","false","true","false"
"true","true","true","true","true","true","true","false","true","false","false","true","true","true","true","false","false","false","true","false","false","false","true","true","false","false","false","true","true","true","false","false","false","true","false"
"false","true","false","false","false","true","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false","false","false","true","true","true","false","false","true","true","false","true","false","true","true"
"true","true","false","false","false","false","false","true","false","true","true","true","true","true","false","false","false","false","true","true","false","false","true","false","false","true","false","true","true","true","false","false","true","false","false"
"true","false","false","true","true","false","false","true","false","true","false","true","false","true","false","true","false","false","true","true","true","true","true","true","true","false","false","false","true","false","true","false","true","true","true"
"true","true","true","false","false","true","true","true","true","true","false","false","true","false","false","false","false","false","true","false","true","true","false","true","true","false","false","false","false","false","true","false","false","true","true"
