# ACTS Test Suite Generation: Tue Mar 06 18:15:33 CST 2018
#  * represents don't care value 

# Degree of interaction coverage: 4
# Number of parameters: 120
# Maximum number of values per parameter: 2
# Number of configurations: 140
# ****************************************************
CONFIG_EPOLL,CONFIG_COMPAT,CONFIG_USER_SCHED,CONFIG_TIMER_STATS,CONFIG_SHMEM,CONFIG_ALPHA,CONFIG_PREEMPT_NOTIFIERS,CONFIG_GENERIC_CLOCKEVENTS,CONFIG_TICK_ONESHOT,CONFIG_GROUP_SCHED,CONFIG_MIGRATION,CONFIG_DISCONTIGMEM,CONFIG_INOTIFY_USER,CONFIG_PM_SLEEP_SMP,CONFIG_HIGHMEM,CONFIG_MODULE_UNLOAD,CONFIG_CGROUP_MEM_RES_CTLR_SWAP,CONFIG_BSD_PROCESS_ACCT,CONFIG_MARKERS,CONFIG_CGROUP_MEM_RES_CTLR,CONFIG_SCHEDSTATS,CONFIG_SECURITY_NETWORK_XFRM,CONFIG_NET_NS,CONFIG_GENERIC_BUG,CONFIG_SMP,CONFIG_TASK_XACCT,CONFIG_DEBUG_MUTEXES,CONFIG_UID16,CONFIG_SYSCTL,CONFIG_ARCH_USES_GETTIMEOFFSET,CONFIG_LATENCYTOP,CONFIG_DEBUG_KMEMLEAK,CONFIG_DEBUG_SPINLOCK_SLEEP,CONFIG_NET_DMA,CONFIG_TCP_MD5SIG,CONFIG_HAVE_ARCH_EARLY_PFN_TO_NID,CONFIG_HAVE_SYSCALL_WRAPPERS,CONFIG_KMEMCHECK,CONFIG_GENERIC_CLOCKEVENTS_BROADCAST,CONFIG_GENERIC_IRQ_PROBE,CONFIG_SWAP,CONFIG_AUDITSYSCALL,CONFIG_LBDAF,CONFIG_DYNAMIC_DEBUG,CONFIG_RING_BUFFER,CONFIG_PID_NS,CONFIG_FTRACE_MCOUNT_RECORD,CONFIG_MM_OWNER,CONFIG_MIPS,CONFIG_RT_MUTEXES,CONFIG_DEBUG_SHIRQ,CONFIG_NUMA,CONFIG_EVENT_TRACING,CONFIG_CGROUPS,CONFIG_TRACING,CONFIG_INET,CONFIG_AUDIT,CONFIG_EVENT_PROFILE,CONFIG_TASK_DELAY_ACCT,CONFIG_RT_GROUP_SCHED,CONFIG_CC_STACKPROTECTOR,CONFIG_LOCKDEP,CONFIG_MODVERSIONS,CONFIG_PRINTK,CONFIG_DEBUG_STACK_USAGE,CONFIG_CONSTRUCTORS,CONFIG_DEBUG_PAGEALLOC,CONFIG_DEBUG_PREEMPT,CONFIG_PM_SLEEP,CONFIG_FTRACE_SYSCALLS,CONFIG_SPARSEMEM,CONFIG_PROVE_LOCKING,CONFIG_HAVE_DYNAMIC_PER_CPU_AREA,CONFIG_PROC_FS,CONFIG_HIBERNATION,CONFIG_GENERIC_HARDIRQS,CONFIG_PREEMPT_VOLUNTARY,CONFIG_XFRM,CONFIG_IPV6_MODULE,CONFIG_STACK_GROWSUP,CONFIG_IA64,CONFIG_FAULT_INJECTION,CONFIG_TRACEPOINTS,CONFIG_HAVE_UNSTABLE_SCHED_CLOCK,CONFIG_MMU,CONFIG_TRACE_IRQFLAGS,CONFIG_DETECT_SOFTLOCKUP,CONFIG_XFRM_SUB_POLICY,CONFIG_POSIX_MQUEUE,CONFIG_TASKSTATS,CONFIG_SYSVIPC,CONFIG_HOTPLUG,CONFIG_XFRM_MIGRATE,CONFIG_KEYS,CONFIG_FUTEX,CONFIG_PERF_COUNTERS,CONFIG_CORE_DUMP_DEFAULT_ELF_HEADERS,CONFIG_ALPHA_GENERIC,CONFIG_HOTPLUG_CPU,CONFIG_ARCH_POPULATES_NODE_MAP,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_NO_HZ,CONFIG_HIGH_RES_TIMERS,CONFIG_USE_GENERIC_SMP_HELPERS,CONFIG_UNUSED_SYMBOLS,CONFIG_PREEMPT,CONFIG_FUNCTION_GRAPH_TRACER,CONFIG_BLK_DEV_IO_TRACE,CONFIG_PPC64,CONFIG_CPUSETS,CONFIG_SYSFS,CONFIG_DEBUG_OBJECTS_TIMERS,CONFIG_XFRM_STATISTICS,CONFIG_SCHED_DEBUG,CONFIG_KALLSYMS,CONFIG_FAIR_GROUP_SCHED,CONFIG_IPV6,CONFIG_DETECT_HUNG_TASK,CONFIG_TREE_PREEMPT_RCU,CONFIG_MODULES
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
true,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true
true,true,false,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false
true,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true
true,false,true,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false
true,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false
true,false,false,false,false,true,true,false,false,true,true,true,true,false,false,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true
false,true,true,true,false,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false
false,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true
