# ACTS Test Suite Generation: Tue Mar 06 18:19:38 CST 2018
#  * represents don't care value 

# Degree of interaction coverage: 4
# Number of parameters: 30
# Maximum number of values per parameter: 2
# Number of configurations: 82
# ****************************************************
CONFIG_I2C_MODULE,CONFIG_OF_DYNAMIC,CONFIG_CONSTRUCTORS,CONFIG_I2C,CONFIG_OF,CONFIG_PM_SLEEP,CONFIG_SUSPEND,CONFIG_FTRACE_MCOUNT_RECORD,CONFIG_HIBERNATE_CALLBACKS,CONFIG_UNUSED_SYMBOLS,CONFIG_PROC_DEVICETREE,CONFIG_PROC_FS,CONFIG_SLUB,CONFIG_MODULE_SIG,CONFIG_NUMA,CONFIG_SLOB,CONFIG_EVENT_TRACING,CONFIG_ACPI_I2C,CONFIG_TRACING,CONFIG_MODULE_UNLOAD,CONFIG_SYSFS,CONFIG_TRACEPOINTS,CONFIG_GENERIC_BUG,CONFIG_DEBUG_SET_MODULE_RONX,CONFIG_SPARC,CONFIG_KALLSYMS,CONFIG_SMP,CONFIG_SLAB,CONFIG_I2C_BOARDINFO,CONFIG_MODULES
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
true,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true
true,true,false,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false
true,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false
true,false,true,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true
true,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false
true,false,false,false,false,true,true,false,false,true,true,true,true,false,false,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true
false,true,true,true,false,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,true,false,false,true,true,false,true,false
false,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,true,false,false,true,false,true
false,true,false,true,true,true,false,false,false,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,false,true,true,false
false,true,false,false,false,false,true,true,true,true,false,true,true,true,false,false,false,false,true,true,true,true,false,false,true,false,true,false,false,true
