"5","CONFIG_MODVERSIONS","CONFIG_DEBUG_VM","CONFIG_HOTPLUG","CONFIG_SHMEM","CONFIG_HAVE_ARCH_EARLY_PFN_TO_NID","CONFIG_ALPHA","CONFIG_DEBUG_PAGEALLOC","CONFIG_GENERIC_IRQ_PROBE","CONFIG_ARCH_POPULATES_NODE_MAP","CONFIG_DEBUG_SLAB","CONFIG_NO_HZ","CONFIG_CRYPTO","CONFIG_DEBUG_SG","CONFIG_SPARSEMEM","CONFIG_UNUSED_SYMBOLS","CONFIG_DISCONTIGMEM","CONFIG_PROC_FS","CONFIG_SLUB","CONFIG_GENERIC_HARDIRQS","CONFIG_PPC64","CONFIG_NUMA","CONFIG_SLABINFO","CONFIG_SLOB","CONFIG_HIGHMEM","CONFIG_MODULE_UNLOAD","CONFIG_STACK_GROWSUP","CONFIG_MARKERS","CONFIG_SYSFS","CONFIG_IA64","CONFIG_GENERIC_BUG","CONFIG_KALLSYMS","CONFIG_SMP","CONFIG_MMU","CONFIG_LOCKDEP","CONFIG_SYSCTL","CONFIG_MODULES","44"
"2","true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","6"
"16","true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","true","true","false","false","true","true","false","false","true","true","true","true","true","false","true","true","false","true","false","true","false","10"
"95","true","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","92"
"71","true","true","true","false","false","false","false","false","false","true","true","true","true","true","false","true","true","false","false","true","true","false","false","true","false","false","true","true","true","false","false","true","false","true","false","true","55"
"35","true","true","true","true","true","true","true","false","true","false","false","true","true","true","true","false","false","false","true","false","false","false","true","true","false","false","false","true","true","true","false","false","false","true","false","false","53"
"71","false","true","true","false","true","false","true","false","true","true","false","true","false","false","true","false","true","true","false","false","true","true","false","true","false","true","true","true","false","false","true","true","false","true","false","false","94"
"3","true","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","57"
"33","false","false","true","false","false","true","false","true","true","false","true","true","true","false","true","false","false","true","false","false","false","true","false","true","false","false","true","true","true","true","false","false","true","false","true","true","12"
"9","false","true","false","false","true","true","true","false","false","true","true","true","true","true","true","false","false","true","false","false","true","false","true","true","false","true","true","false","false","false","false","false","false","false","true","false","78"
"75","false","false","false","false","true","false","false","false","true","true","false","true","false","false","false","true","false","false","true","false","false","true","false","true","false","true","false","false","true","false","false","true","true","false","true","false","27"
"38","true","false","true","true","false","false","true","true","false","false","false","true","true","true","false","false","false","true","false","false","true","false","true","true","false","true","false","false","false","true","true","false","true","false","false","false","14"
"55","false","true","true","true","true","true","false","false","true","false","true","true","true","false","false","false","false","true","true","true","true","true","true","true","false","false","false","true","false","false","false","true","false","false","false","false","25"
"52","false","true","true","true","false","true","false","true","true","false","true","true","true","true","false","false","true","true","true","true","true","false","true","true","false","false","true","true","true","true","true","true","true","false","true","false","32"
"24","false","false","true","false","true","true","false","false","false","true","true","true","true","true","true","true","true","false","true","true","true","false","false","true","true","true","false","true","false","false","true","false","true","false","false","true","21"
"87","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","49"
