# ACTS Test Suite Generation: Tue Feb 20 16:53:16 CST 2018,,,,
#  * represents don't care value ,,,,
,,,,
# Degree of interaction coverage: 4,,,,
# Number of parameters: 5,,,,
# Maximum number of values per parameter: 2,,,,
# Number of configurations: 16,,,,
# ****************************************************,,,,
CONFIG_SSB_DRIVER_EXTIF,CONFIG_SSB_SERIAL,CONFIG_SSB_PCMCIAHOST,CONFIG_SSB_PCIHOST,CONFIG_SSB_DEBUG
TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,TRUE
TRUE,FALSE,TRUE,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,TRUE
TRUE,FALSE,FALSE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,TRUE,TRUE,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,TRUE
FALSE,TRUE,FALSE,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE,TRUE
