"CONFIG_SSB_DEBUG","CONFIG_SSB_SERIAL","CONFIG_SSB_PCMCIAHOST","CONFIG_SSB_PCIHOST","CONFIG_SSB_DRIVER_EXTIF"
"true","true","true","false","false"
"true","true","false","true","false"
"true","false","true","true","false"
"true","false","false","false","false"
"false","true","true","true","false"
"false","true","false","false","false"
"false","false","true","false","false"
"false","false","false","true","false"
"true","true","true","true","true"
"true","true","false","false","true"
"true","false","true","false","true"
"true","false","false","true","true"
"false","true","true","false","true"
"false","true","false","true","true"
"false","false","true","true","true"
"false","false","false","false","true"
