56,CONFIG_SSB_DEBUG,CONFIG_SSB_SERIAL,CONFIG_SSB_PCMCIAHOST,CONFIG_SSB_PCIHOST,CONFIG_SSB_DRIVER_EXTIF,57
96,FALSE,FALSE,TRUE,TRUE,TRUE,9
90,FALSE,FALSE,FALSE,FALSE,TRUE,43
87,FALSE,TRUE,FALSE,FALSE,FALSE,95
83,FALSE,TRUE,TRUE,FALSE,TRUE,82
73,TRUE,FALSE,TRUE,FALSE,TRUE,92
65,TRUE,FALSE,FALSE,FALSE,FALSE,3
65,FALSE,TRUE,FALSE,TRUE,TRUE,38
59,TRUE,TRUE,FALSE,FALSE,TRUE,53
55,TRUE,TRUE,TRUE,TRUE,TRUE,9
51,FALSE,FALSE,TRUE,FALSE,FALSE,61
46,TRUE,FALSE,FALSE,TRUE,TRUE,53
35,FALSE,TRUE,TRUE,TRUE,FALSE,66
34,TRUE,TRUE,FALSE,TRUE,FALSE,35
27,TRUE,FALSE,TRUE,TRUE,FALSE,20
8,TRUE,TRUE,TRUE,FALSE,FALSE,31
2,FALSE,FALSE,FALSE,TRUE,FALSE,34
