"CONFIG_MTD_PARTITIONS","CONFIG_DEBUG_SPINLOCK_SLEEP","CONFIG_OMAP_MUX","CONFIG_HOTPLUG","CONFIG_I2C_MODULE","CONFIG_PRINTK","CONFIG_MTD_DEBUG","CONFIG_I2C","CONFIG_OF","CONFIG_LBDAF","CONFIG_MENELAUS","CONFIG_ARCH_OMAP2420","CONFIG_KEYBOARD_OMAP","CONFIG_MACH_OMAP3EVM","CONFIG_DYNAMIC_DEBUG","CONFIG_RING_BUFFER","CONFIG_ARCH_OMAP730","CONFIG_KEYBOARD_OMAP_MODULE","CONFIG_FTRACE_MCOUNT_RECORD","CONFIG_PROVE_LOCKING","CONFIG_FB_OMAP","CONFIG_USB_MODULE","CONFIG_MTD_CMDLINE_PARTS","CONFIG_PREEMPT_VOLUNTARY","CONFIG_NUMA","CONFIG_ARCH_OMAP3","CONFIG_USB_GADGET_OMAP","CONFIG_ARCH_OMAP4","CONFIG_TRACING","CONFIG_ARCH_OMAP1","CONFIG_USB","CONFIG_ARCH_OMAP2","CONFIG_HAS_IOPORT","CONFIG_FREEZER","CONFIG_ARCH_OMAP16XX","CONFIG_ARCH_OMAP_OTG_MODULE","CONFIG_ARCH_OMAP15XX","CONFIG_SMP","CONFIG_MMU","CONFIG_I2C_BOARDINFO","CONFIG_ARCH_OMAP2430","CONFIG_ARCH_OMAP_OTG","CONFIG_DEBUG_OBJECTS_WORK","CONFIG_ARCH_OMAP2PLUS","CONFIG_LOCKDEP","CONFIG_MODULES"
"true","true","true","false","false","true","true","true","true","true","false","false","true","true","false","false","false","false","true","false","true","true","false","true","true","false","false","false","false","false","true","false","false","true","true","true","false","false","true","true","true","true","true","true","true","false"
"false","false","false","false","true","true","true","false","true","false","true","false","true","true","true","true","true","false","false","true","true","true","false","false","false","false","true","true","false","true","true","true","false","true","false","true","false","true","false","true","true","true","false","true","false","true"
"false","true","true","true","false","true","true","true","false","true","true","false","false","false","true","false","false","false","true","false","true","false","false","false","true","true","true","true","true","false","false","true","true","false","false","true","false","false","false","true","true","true","false","false","true","false"
"false","false","true","false","false","true","true","false","false","false","false","false","true","false","false","true","false","false","true","true","true","true","true","true","false","true","true","true","false","true","false","false","true","true","false","true","false","true","false","false","true","true","true","true","false","false"
"false","true","true","false","true","true","false","true","true","false","false","false","true","true","true","true","true","true","false","true","true","false","false","false","false","false","true","false","true","false","true","true","true","true","true","true","false","false","false","true","true","false","false","true","true","false"
"true","false","true","false","false","true","true","true","true","true","false","false","false","false","false","false","true","false","true","false","false","false","true","true","false","true","false","true","false","false","false","true","true","true","true","true","true","true","true","true","false","true","false","false","false","true"
"false","true","true","false","true","false","false","false","false","false","true","false","true","true","false","true","true","true","false","false","true","false","false","false","false","false","true","true","true","true","true","false","false","false","true","true","false","true","true","true","true","true","true","true","true","true"
"true","true","true","true","false","true","false","true","true","false","true","false","true","false","false","true","true","false","true","true","true","true","true","false","false","true","false","false","true","true","true","false","false","false","false","true","true","false","true","false","false","false","false","true","true","true"
"false","false","true","true","true","true","true","false","true","false","true","false","true","false","false","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","true","false","true","true","true","false","false","false","true","true","false","true","false","false","false","true"
"true","false","false","true","true","true","false","false","false","false","true","false","true","true","false","true","false","false","true","true","false","true","false","true","true","true","true","true","true","false","false","true","false","false","true","false","false","true","true","true","false","true","false","true","true","false"
"true","true","false","false","false","true","false","false","true","false","true","false","false","true","false","false","false","true","true","false","true","false","true","true","false","true","false","false","true","true","true","true","true","true","true","true","false","true","false","true","false","false","true","true","false","false"
"true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"false","true","false","false","false","true","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false","false","false","true","true","true","false","false","true","true","false","true","false","true","true","true","true","false","true","false","false","true","false","true","true","true"
"false","true","false","true","true","true","false","false","true","true","false","false","false","true","false","false","false","false","false","true","true","true","false","true","true","false","true","false","true","true","false","false","false","true","false","false","true","false","true","true","true","true","false","true","false","true"
"false","false","true","true","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","true","true","true","false","false","false","false","false","true","false","true","false","false","false","true","true","false","true","false","true","false","true","false","true","false","false"
"true","false","true","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true"
"false","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","false","false","false","true","true","false","true","false","true","true","false","true","false","true","true","false","true","true","true","false","false","true","false","true","true","false","false"
"false","false","true","true","false","false","true","false","true","true","true","false","true","false","true","true","false","true","true","false","false","false","false","true","false","true","true","false","false","true","true","true","false","false","true","true","true","true","false","true","true","true","true","false","false","false"
"true","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true"
"false","true","false","true","false","true","false","false","false","true","false","true","false","false","false","false","true","true","true","false","false","true","false","false","false","false","true","true","false","false","true","true","true","false","true","true","true","false","false","true","true","true","true","true","true","true"
"true","true","false","false","true","true","false","true","true","false","true","false","true","false","true","false","true","true","false","false","false","true","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","true","false","true","false","true","true","false","true","true"
