"1","CONFIG_MODVERSIONS","CONFIG_ACPI_VIDEO_MODULE","CONFIG_PHYS_ADDR_T_64BIT","CONFIG_PRINTK","CONFIG_CONSTRUCTORS","CONFIG_PM_SLEEP","CONFIG_DEBUG_SLAB","CONFIG_SUSPEND","CONFIG_PROVE_LOCKING","CONFIG_HIBERNATION","CONFIG_ACPI_PROC_EVENT","CONFIG_SLUB","CONFIG_PREEMPT_VOLUNTARY","CONFIG_MODULE_UNLOAD","CONFIG_DRM_I915_MODULE","CONFIG_PCI_DOMAINS","CONFIG_DEBUG_OBJECTS","CONFIG_PCIEASPM","CONFIG_PCIE_ECRC","CONFIG_TRACEPOINTS","CONFIG_GENERIC_BUG","CONFIG_PCI","CONFIG_SMP","CONFIG_DEBUG_LIST","CONFIG_DEBUG_MUTEXES","CONFIG_PCI_QUIRKS","CONFIG_UID16","CONFIG_HT_IRQ","CONFIG_PCI_MSI","CONFIG_DEBUG_SPINLOCK_SLEEP","CONFIG_SYMBOL_PREFIX","CONFIG_HOTPLUG","CONFIG_KMEMCHECK","CONFIG_ACPI_VIDEO","CONFIG_LBDAF","CONFIG_ACPI_DOCK","CONFIG_64BIT","CONFIG_DYNAMIC_DEBUG","CONFIG_RING_BUFFER","CONFIG_PM_OPS","CONFIG_FTRACE_MCOUNT_RECORD","CONFIG_UNUSED_SYMBOLS","CONFIG_SUSPEND_NVS","CONFIG_PCI_MMCONFIG","CONFIG_HOTPLUG_PCI","CONFIG_ACPI","CONFIG_ACPI_DOCK_MODULE","CONFIG_NUMA","CONFIG_EVENT_TRACING","CONFIG_SLOB","CONFIG_TRACING","CONFIG_DEBUG_LOCK_ALLOC","CONFIG_SYSFS","CONFIG_DMI","CONFIG_FAILSLAB","CONFIG_THERMAL_HWMON","CONFIG_HOTPLUG_PCI_MODULE","CONFIG_KALLSYMS","CONFIG_DRM_I915","CONFIG_VT_CONSOLE","CONFIG_PCI_IOV","CONFIG_MODULES","CONFIG_VT","97"
"17","false","true","true","true","true","true","true","true","false","false","true","true","false","true","true","false","true","true","true","true","false","true","true","true","true","true","false","false","true","true","false","false","true","true","false","true","true","true","false","false","false","true","false","false","true","false","true","true","false","false","false","false","false","true","false","false","true","false","true","true","false","true","false","39"
"37","false","true","true","true","false","true","true","true","false","true","true","false","false","false","true","false","false","false","true","false","true","false","false","false","true","true","true","true","true","false","false","true","true","false","false","true","false","false","false","true","true","true","false","false","true","false","true","true","true","true","false","false","false","true","false","true","true","false","false","true","true","true","true","60"
"77","true","false","true","true","true","true","true","false","false","true","true","true","false","false","true","false","true","true","false","true","false","true","true","false","true","true","false","true","true","true","false","false","false","true","true","false","true","false","true","true","false","false","false","true","true","false","false","false","false","false","true","false","true","false","true","false","true","true","false","false","true","false","false","76"
"35","false","true","true","true","true","true","false","true","false","true","true","false","false","true","true","false","false","false","false","true","false","true","true","false","false","false","true","true","true","true","true","false","true","false","true","false","false","true","true","true","true","false","true","false","false","false","false","false","true","true","false","false","true","true","false","true","false","false","false","false","true","false","false","22"
"32","true","false","false","true","true","true","true","false","false","false","true","true","false","true","false","false","true","false","true","false","true","true","true","false","true","false","true","true","false","false","true","true","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","true","true","false","true","true","true","false","false","true","true","true","false","true","false","false","true","70"
"17","true","false","false","true","true","true","false","false","false","false","true","false","true","true","false","true","false","false","true","true","false","true","false","true","true","true","true","true","true","false","false","true","false","false","true","false","false","true","true","true","false","true","false","true","true","false","false","false","true","false","false","false","true","false","true","false","true","false","false","false","false","true","false","83"
"37","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","41"
"17","false","true","false","true","true","false","true","true","true","true","false","false","true","true","true","true","false","true","false","false","false","false","true","false","true","true","false","false","false","true","false","false","true","true","false","true","false","false","true","false","true","false","false","false","false","false","false","true","false","true","true","false","true","false","false","true","true","true","true","false","false","false","true","80"
"68","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","true","true","true","false","true","false","false","true","false","true","false","false","true","false","false","false","false","false","false","true","false","true","false","false","false","false","true","true","true","false","true","false","false","false","true","false","false","false","true","true","false","true","false","true","false","true","false","true","52"
"58","false","true","false","true","true","true","false","false","false","true","false","false","false","true","false","false","false","false","false","true","true","true","false","true","true","false","true","false","true","true","false","false","false","true","false","false","true","false","true","true","true","true","false","true","false","true","true","true","true","true","true","false","true","false","true","true","false","false","true","false","true","false","true","7"
