"CONFIG_EPOLL","CONFIG_MODVERSIONS","CONFIG_COMPAT","CONFIG_USER_SCHED","CONFIG_PRINTK","CONFIG_PREEMPT_RCU","CONFIG_DEBUG_STACK_USAGE","CONFIG_CONSTRUCTORS","CONFIG_SECURITY","CONFIG_LOCK_KERNEL","CONFIG_MTD_DEBUG","CONFIG_PREEMPT_NOTIFIERS","CONFIG_DEBUG_SLAB","CONFIG_GROUP_SCHED","CONFIG_FSNOTIFY","CONFIG_PROVE_LOCKING","CONFIG_MIGRATION","CONFIG_JFFS2_RTIME","CONFIG_INOTIFY_USER","CONFIG_SLUB","CONFIG_GENERIC_HARDIRQS","CONFIG_PREEMPT_VOLUNTARY","CONFIG_PREEMPT_BKL","CONFIG_MODULE_UNLOAD","CONFIG_BLOCK","CONFIG_DEBUG_OBJECTS","CONFIG_BSD_PROCESS_ACCT","CONFIG_MARKERS","CONFIG_SCHEDSTATS","CONFIG_JFFS2_LZO","CONFIG_FAULT_INJECTION","CONFIG_TRACEPOINTS","CONFIG_GENERIC_BUG","CONFIG_INOTIFY","CONFIG_SMP","CONFIG_HAVE_UNSTABLE_SCHED_CLOCK","CONFIG_MMU","CONFIG_DEBUG_LIST","CONFIG_TASK_XACCT","CONFIG_DEBUG_MUTEXES","CONFIG_JFFS2_FS_WRITEBUFFER","CONFIG_TRACE_IRQFLAGS","CONFIG_LATENCYTOP","CONFIG_DETECT_SOFTLOCKUP","CONFIG_MTD_PARTITIONS","CONFIG_POSIX_MQUEUE","CONFIG_DEBUG_SPINLOCK_SLEEP","CONFIG_TASKSTATS","CONFIG_SYSVIPC","CONFIG_JFFS2_ZLIB","CONFIG_HOTPLUG","CONFIG_KEYS","CONFIG_FUTEX","CONFIG_KMEMCHECK","CONFIG_PERF_COUNTERS","CONFIG_CORE_DUMP_DEFAULT_ELF_HEADERS","CONFIG_JFFS2_FS_WBUF_VERIFY","CONFIG_AUDITSYSCALL","CONFIG_FS_XIP","CONFIG_SECURITY_FILE_CAPABILITIES","CONFIG_HOTPLUG_CPU","CONFIG_LBDAF","CONFIG_NO_HZ","CONFIG_DYNAMIC_DEBUG","CONFIG_RING_BUFFER","CONFIG_FILE_LOCKING","CONFIG_FTRACE_MCOUNT_RECORD","CONFIG_UNUSED_SYMBOLS","CONFIG_JFFS2_FS_POSIX_ACL","CONFIG_MM_OWNER","CONFIG_FUNCTION_GRAPH_TRACER","CONFIG_JFFS2_RUBIN","CONFIG_DEBUG_WRITECOUNT","CONFIG_RT_MUTEXES","CONFIG_BLK_DEV_IO_TRACE","CONFIG_JFFS2_FS_XATTR","CONFIG_CPUSETS","CONFIG_NUMA","CONFIG_SLOB","CONFIG_EVENT_TRACING","CONFIG_CGROUPS","CONFIG_QUOTA","CONFIG_TRACING","CONFIG_SYSFS","CONFIG_AUDIT","CONFIG_FS_POSIX_ACL","CONFIG_DNOTIFY","CONFIG_TASK_DELAY_ACCT","CONFIG_SCHED_DEBUG","CONFIG_RT_GROUP_SCHED","CONFIG_KALLSYMS","CONFIG_FAIR_GROUP_SCHED","CONFIG_DETECT_HUNG_TASK","CONFIG_LOCKDEP","CONFIG_MODULES"
"false","true","true","false","true","false","true","false","true","true","false","true","false","false","true","false","true","true","false","false","true","true","false","true","false","true","true","true","false","false","true","true","false","true","false","false","true","false","true","false","false","false","true","true","false","false","true","false","true","false","false","true","true","true","false","true","true","false","true","true","true","true","false","true","false","false","false","false","false","false","true","false","false","true","false","false","false","true","true","false","false","true","false","false","false","false","true","true","false","false","false","true","false","false","true"
"true","false","false","false","true","true","false","true","true","true","true","true","false","true","true","true","true","false","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","true","true","false","true","false","false","false","false","false","true","true","true","false","true","true","false","false","false","false","true","false","true","true","true","true","true","false","false","true","true","false","true","true","true","true","false","true","false","false"
"false","true","true","true","true","true","false","false","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","true","true","false","true","false","false","false","true","true","false","false","true","true","false","false","true","true","false","true","false","false","false","false","true","true","false","false","true","true","false","false","true","false","false","false","true","false","false","true","false","false","false","true","false","true","false","true","true","false","true","true","false","false","false","true","true","true","true","true","true","true","true","true","false","false","true","false"
"true","false","false","true","true","true","true","false","false","true","true","false","false","false","true","false","false","false","false","true","true","true","false","true","false","false","true","false","true","true","true","true","false","true","false","true","true","false","false","false","false","false","true","false","true","true","false","true","true","true","false","true","false","false","true","false","true","false","true","true","false","false","true","false","true","true","false","false","true","true","false","false","true","true","false","true","false","true","true","true","false","true","true","true","false","true","false","false","true","false","false","true","false","false","true"
"true","false","true","true","true","false","true","true","false","true","false","false","false","false","false","true","true","false","true","false","true","false","false","false","false","false","true","false","true","true","false","true","true","true","true","true","false","false","true","false","false","true","false","false","true","false","true","false","true","true","false","false","false","true","false","true","true","true","true","true","true","false","false","true","true","false","false","false","false","false","false","false","true","true","true","false","false","false","true","true","false","false","true","false","false","false","true","true","false","false","true","false","true","false","false"
"false","true","true","true","true","true","false","true","true","true","false","false","true","true","false","true","false","true","true","false","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","true","false","true","true","true","true","false","false","false","true","false","false","false","false","true","false","false","false","true","true","true","true","true","true","false","true","true","true","true","false","true","false","true","false","false","false","true","false","false","true","true","true","true","false","true","true","false","true","true","true","false","true","true","false","false","true","true","true","true","true"
"false","true","true","true","true","true","false","true","false","true","true","false","false","true","true","false","false","false","false","true","false","true","true","false","false","false","true","true","true","true","true","false","true","false","true","false","false","true","true","true","true","false","true","false","false","false","false","false","true","true","false","false","true","true","false","true","false","false","false","false","true","false","false","false","true","true","true","false","false","true","true","true","true","true","true","true","false","true","false","true","true","true","false","false","false","false","false","true","false","true","false","true","false","false","false"
"false","true","false","false","true","false","true","true","false","false","false","false","false","false","false","false","true","true","false","true","true","true","true","false","false","false","false","true","true","true","false","true","true","false","false","false","true","true","true","true","false","false","false","true","true","false","false","true","false","false","true","true","true","false","false","true","true","false","true","false","true","true","true","false","false","false","false","false","false","true","false","false","false","true","false","true","true","true","true","true","false","false","true","false","true","true","true","true","true","true","true","true","false","true","false"
"true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true"
