# ACTS Test Suite Generation: Tue Mar 06 18:44:04 CST 2018
#  * represents don't care value 

# Degree of interaction coverage: 3
# Number of parameters: 40
# Maximum number of values per parameter: 2
# Number of configurations: 37
# ****************************************************
NEWPANEL,ARDUINO>=100,SDSUPPORT,LANGUAGE_H,Y_ENABLE_PIN>-1,E0_ENABLE_PIN>-1,SDCARDDETECTINVERTED,E1_ENABLE_PIN,CRITICAL_SECTION_START,temperature_h,LANGUAGE_CHOICE==1,MARLIN_H,PIDTEMP,LANGUAGE_CHOICE==5,LANGUAGE_CHOICE==4,EXTRUDERS>1,E2_ENABLE_PIN,E2_ENABLE_PIN>-1,EXTRUDERS>2,EEPROM_H,ULTRALCD_H,Z_ENABLE_PIN>-1,planner_h,CARDREADER_H,X_ENABLE_PIN>-1,SdFile_h,cbi,SDCARDDETECT>-1,ULTIPANEL,ULTRA_LCD,Z_DUAL_STEPPER_DRIVERS,MOTHERBOARD==71,MOTHERBOARD==7,MOTHERBOARD==8,AUTOTEMP,E1_ENABLE_PIN>-1,E0_ENABLE_PIN,ADVANCE,sbi,FAST_PWM_FAN
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false
true,false,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true
false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false
false,true,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true
false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false
false,false,false,false,true,true,false,false,true,true,true,true,false,false,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true
false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,false,false
true,true,false,false,true,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,true
true,true,true,true,false,false,false,false,true,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,false,false,true,true
false,false,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,true,true,false,false,true,true,true,true,true,true,false,false
false,false,false,true,true,true,true,false,true,false,false,false,false,true,false,true,false,true,true,false,true,false,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,true,false
true,true,true,false,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,false,true,false,true,false,true,true,false,true,false,false,true,false,true,true,false,true,false,true,true
true,true,false,false,false,false,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,true,true,false,true,true,false,true,false,false
false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,false,false,false,true,true,false,true,false,true,true,false,false,true,true,false,true,false,true,true,false,false,true
false,false,true,true,true,true,true,true,true,true,false,true,false,false,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,true,false,true
true,true,true,true,true,true,true,false,false,false,true,true,false,true,false,true,false,false,false,false,true,false,false,true,true,true,true,false,false,false,true,true,true,false,true,false,false,false,false,false
false,false,false,true,false,true,false,true,true,false,true,false,true,false,true,false,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,true,true,false
false,false,true,false,true,false,false,false,false,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,false,false,true,true,false,false,true,false,false,false,true,false,true,true
true,false,false,false,false,true,false,false,true,true,false,false,true,true,false,true,true,false,true,false,false,true,true,true,false,false,false,true,false,false,true,false,true,true,true,false,true,true,false,true
true,true,true,true,false,false,false,false,true,false,true,true,true,true,false,false,false,true,false,false,false,true,true,true,true,false,false,false,true,true,false,true,false,false,true,true,false,false,true,true
false,false,false,false,true,false,true,false,true,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,true,true,false,true,true,false,true,false
true,true,true,true,false,false,true,true,false,false,false,false,false,false,true,true,false,false,true,true,true,true,true,true,true,false,false,false,true,true,true,false,false,true,true,true,true,true,false,false
false,true,false,true,true,true,true,true,false,true,false,false,true,true,true,false,true,true,false,false,true,true,false,false,true,false,true,false,false,false,false,true,false,true,false,true,false,true,true,false
true,false,false,false,false,true,true,false,false,true,false,true,false,false,false,false,true,true,true,false,true,true,true,false,true,true,true,false,true,false,false,false,true,false,false,true,false,false,false,true
false,true,true,true,true,true,false,true,true,false,false,true,true,false,false,true,false,true,true,false,false,false,true,false,false,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true
true,false,false,false,false,true,false,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,true,false,true,true,false,true,false,true,false,true,true,false,false,false,false,false
true,true,true,false,true,true,true,false,false,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,true,false,true,true,false,true,false,true,false,true,true,true,true
false,true,false,false,true,false,true,true,true,false,true,false,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,false,true,true,true,true,false,false,false,true,true,false,true
false,false,false,true,true,false,true,true,true,true,true,false,false,false,true,true,true,true,false,true,false,true,false,true,false,true,false,true,false,false,false,false,true,true,true,false,true,true,true,false
true,false,true,false,true,false,true,false,true,true,false,false,true,true,false,false,true,false,true,false,false,true,false,false,true,false,false,true,true,true,false,true,false,false,false,true,false,true,false,true
