"27","NEWPANEL","ARDUINO>=100","SDSUPPORT","LANGUAGE_H","Y_ENABLE_PIN>-1","E0_ENABLE_PIN>-1","SDCARDDETECTINVERTED","E1_ENABLE_PIN","CRITICAL_SECTION_START","temperature_h","LANGUAGE_CHOICE==1","MARLIN_H","PIDTEMP","LANGUAGE_CHOICE==5","LANGUAGE_CHOICE==4","EXTRUDERS>1","E2_ENABLE_PIN","E2_ENABLE_PIN>-1","EXTRUDERS>2","EEPROM_H","ULTRALCD_H","Z_ENABLE_PIN>-1","planner_h","CARDREADER_H","X_ENABLE_PIN>-1","SdFile_h","cbi","SDCARDDETECT>-1","ULTIPANEL","ULTRA_LCD","Z_DUAL_STEPPER_DRIVERS","MOTHERBOARD==71","MOTHERBOARD==7","MOTHERBOARD==8","AUTOTEMP","E1_ENABLE_PIN>-1","E0_ENABLE_PIN","ADVANCE","sbi","FAST_PWM_FAN","13"
"16","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","24"
"25","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","50"
"46","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","52"
"70","true","false","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","55"
"18","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","22"
"82","false","true","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","51"
"37","false","false","true","true","false","false","true","true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","86"
"13","false","false","false","false","true","true","false","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","76"
"89","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","false","false","false","false","true","true","true","true","true","true","true","true","false","false","99"
"34","true","true","false","false","true","true","true","true","false","false","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","true","true","78"
"9","true","true","true","true","false","false","false","false","true","true","false","false","false","false","true","true","true","true","true","true","true","true","false","false","false","false","true","true","false","false","true","true","false","false","false","false","false","false","true","true","24"
"63","false","false","false","false","false","false","true","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","true","true","true","true","false","false","true","true","false","false","true","true","true","true","true","true","false","false","5"
"63","false","false","false","true","true","true","true","false","true","false","false","false","false","true","false","true","false","true","true","false","true","false","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","16"
"72","true","true","true","false","true","true","false","true","false","true","true","false","true","false","false","false","true","false","false","true","false","true","false","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false","true","true","64"
"73","true","true","false","false","false","false","true","true","true","true","true","true","false","false","true","false","true","true","true","true","true","false","false","false","false","true","false","true","true","true","false","true","true","false","true","true","false","true","false","false","10"
"75","false","false","false","false","false","false","false","false","false","false","true","true","true","false","true","true","true","true","false","false","false","true","true","false","true","false","true","true","false","false","true","true","false","true","false","true","true","false","false","true","77"
"1","false","false","true","true","true","true","true","true","true","true","false","true","false","false","true","false","false","false","false","true","false","false","true","false","false","false","true","false","false","false","false","false","false","true","false","false","true","true","false","true","83"
"44","true","true","true","true","true","true","true","false","false","false","true","true","false","true","false","true","false","false","false","false","true","false","false","true","true","true","true","false","false","false","true","true","true","false","true","false","false","false","false","false","23"
"90","false","false","false","true","false","true","false","true","true","false","true","false","true","false","true","false","false","false","true","false","true","true","false","true","true","true","true","true","true","true","true","false","false","false","false","false","false","true","true","false","76"
"51","false","false","true","false","true","false","false","false","false","true","false","true","true","true","true","true","false","true","true","true","true","false","true","true","false","true","false","false","true","true","false","false","true","false","false","false","true","false","true","true","75"
"55","true","false","false","false","false","true","false","false","true","true","false","false","true","true","false","true","true","false","true","false","false","true","true","true","false","false","false","true","false","false","true","false","true","true","true","false","true","true","false","true","60"
"68","true","true","true","true","false","false","false","false","true","false","true","true","true","true","false","false","false","true","false","false","false","true","true","true","true","false","false","false","true","true","false","true","false","false","true","true","false","false","true","true","80"
"10","false","false","false","false","true","false","true","false","true","false","true","false","false","true","true","true","true","false","false","true","false","true","false","false","false","true","false","false","true","true","true","true","true","true","false","true","true","false","true","false","41"
"28","true","true","true","true","false","false","true","true","false","false","false","false","false","false","true","true","false","false","true","true","true","true","true","true","true","false","false","false","true","true","true","false","false","true","true","true","true","true","false","false","6"
"74","false","true","false","true","true","true","true","true","false","true","false","false","true","true","true","false","true","true","false","false","true","true","false","false","true","false","true","false","false","false","false","true","false","true","false","true","false","true","true","false","57"
"2","true","false","false","false","false","true","true","false","false","true","false","true","false","false","false","false","true","true","true","false","true","true","true","false","true","true","true","false","true","false","false","false","true","false","false","true","false","false","false","true","97"
"59","false","true","true","true","true","true","false","true","true","false","false","true","true","false","false","true","false","true","true","false","false","false","true","false","false","true","true","true","true","false","true","false","false","true","true","true","false","true","true","true","92"
"88","true","false","false","false","false","true","false","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","true","false","false","false","false","false","61"
"38","true","true","true","false","true","true","true","false","false","true","false","true","false","false","true","false","true","false","false","true","true","false","false","true","true","true","false","true","false","true","true","false","true","false","true","false","true","true","true","true","13"
"68","false","true","false","false","true","false","true","true","true","false","true","false","true","false","false","false","false","true","false","true","false","false","true","true","false","false","true","true","false","true","true","true","true","false","false","false","true","true","false","true","10"
"93","false","false","false","true","true","false","true","true","true","true","true","false","false","false","true","true","true","true","false","true","false","true","false","true","false","true","false","true","false","false","false","false","true","true","true","false","true","true","true","false","14"
"19","true","false","true","false","true","false","true","false","true","true","false","false","true","true","false","false","true","false","true","false","false","true","false","false","true","false","false","true","true","true","false","true","false","false","false","true","false","true","false","true","69"
"34","false","true","true","true","false","true","false","true","true","false","false","true","false","true","true","true","false","true","false","false","false","false","true","false","true","true","true","false","true","false","true","true","true","false","true","false","true","false","true","false","46"
"85","true","true","true","false","false","false","false","false","false","false","true","true","false","true","false","false","true","true","true","false","false","true","false","true","true","true","true","true","true","true","false","false","false","true","false","false","true","true","false","false","4"
"37","true","true","false","false","true","true","false","false","false","false","true","false","true","true","true","true","false","false","true","true","true","true","false","false","false","false","true","false","true","false","false","false","true","false","true","true","false","true","false","true","62"
"92","false","false","false","false","false","true","true","false","true","false","false","false","true","false","true","true","false","false","true","true","false","true","false","false","false","true","false","true","true","true","true","true","true","true","false","true","false","false","true","false","24"
"57","false","true","false","false","false","false","false","false","false","false","false","true","true","true","true","true","false","true","true","true","false","false","true","false","false","false","false","true","true","false","true","false","false","true","false","true","false","false","true","true","97"
