"81","PROBE_SERVO_DEACTIVATION_DELAY>0","SDSUPPORT","E0_ENABLE_PIN>-1","Pins_Arduino_h","ULTIMAKERCONTROLLER","LCD_I2C_VIKI","NUM_SERVOS>0","MOTHERBOARD==77","MARLIN_H","MOTHERBOARD==80","LCD_USE_I2C_BUZZER","MOTHERBOARD","E2_ENABLE_PIN","planner_h","DIGIPOT_I2C","Y_DUAL_STEPPER_DRIVERS","REPRAP_DISCOUNT_FULL_GRAPHIC_SMART_CONTROLLER","X_ENABLE_PIN>-1","Y_ENABLE_PIN","SDCARDDETECT>-1","ULTIPANEL","MOTHERBOARD==72","Z_DUAL_STEPPER_DRIVERS","MOTHERBOARD==71","COREXY","REPRAPWORLD_KEYPAD","ENDSTOPPULLUPS","ADVANCE","FAST_PWM_FAN","PREVENT_DANGEROUS_EXTRUDE","LANGUAGE_H","DELTA","CUSTOM_MENDEL_NAME","ENABLE_AUTO_BED_LEVELING","E1_ENABLE_PIN","CRITICAL_SECTION_START","SHOW_TEMP_ADC_VALUES","LANGUAGE_CHOICE==9","LANGUAGE_CHOICE==8","ENCODER_PULSES_PER_STEP","temperature_h","LANGUAGE_CHOICE==3","LANGUAGE_CHOICE==2","LANGUAGE_CHOICE==1","LANGUAGE_CHOICE==7","LANGUAGE_CHOICE==6","VECTOR_3_H","CONFIG_STORE_H","LANGUAGE_CHOICE==5","LANGUAGE_CHOICE==4","RA_CONTROL_PANEL","EXTRUDERS>1","EXTRUDERS>2","MAKRPANEL","LCD_I2C_PANELOLU2","SdFile_h","stepper_h","CONTROLLERFAN_PIN","AUTOTEMP","BABYSTEPPING","G3D_PANEL","EEPROM_SETTINGS","WProgram_h","ARDUINO>=100","Y_ENABLE_PIN>-1","DISABLE_MAX_ENDSTOPS","ABORT_ON_ENDSTOP_HIT_FEATURE_ENABLED","FWRETRACT","USE_WATCHDOG","Z_SAFE_HOMING","DOGLCD","Z_ENABLE_PIN","REPRAP_DISCOUNT_SMART_CONTROLLER","AT90USB","SR_LCD","SERVO_ENDSTOPS","ULTRALCD_H","MACHINE_UUID","CONTROLLERFAN_PIN>-1","WATCHDOG_H","LANGUAGE_CHOICE","ULTRA_LCD","BARICUDA","PIDTEMPBED","CHDK","DISABLE_M503","E1_ENABLE_PIN>-1","E0_ENABLE_PIN","ENCODER_STEPS_PER_MENU_ITEM","AUTO_BED_LEVELING_GRID","NEWPANEL","X_ENABLE_PIN","motion_control_h","PIDTEMP","LANGUAGE_CHOICE==10","LANGUAGE_CHOICE==11","LANGUAGE_CHOICE==12","DUAL_X_CARRIAGE","LANGUAGE_CHOICE==13","CONFIGURATION_H","E2_ENABLE_PIN>-1","Servo_h","LCD_I2C_SAINSMART_YWROBOT","Z_ENABLE_PIN>-1","CARDREADER_H","PS_DEFAULT_OFF","FAN_SOFT_PWM","cbi","MOTHERBOARD==88","BTENABLED","TEMP_SENSOR_1_AS_REDUNDANT","EXTRUDER_OFFSET_Y","EXTRUDER_OFFSET_X","MOTHERBOARD==7","CUSTOM_M_CODES","sbi","75"
"20","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","100"
"65","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","57"
"32","false","false","true","true","false","false","true","true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","38"
"98","true","true","false","false","true","true","true","true","false","false","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","true","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","true","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","true","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","true","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","true","true","true","true","true","true","true","true","false","false","false","false","false","false","84"
"25","false","false","true","false","true","false","false","false","false","true","false","true","true","true","true","true","false","true","true","true","true","false","true","true","false","true","false","false","true","true","false","false","true","false","false","false","true","false","true","true","true","false","true","false","false","true","true","true","true","false","false","false","false","true","false","false","true","false","true","true","false","false","true","true","true","true","false","false","false","true","true","true","false","true","true","true","false","false","false","false","true","true","false","false","false","false","true","false","false","false","false","true","false","true","false","false","true","true","false","true","false","true","false","true","true","false","false","true","false","false","true","false","false","false","true","true","19"
"75","true","true","true","true","false","false","true","true","false","false","false","false","false","false","true","true","false","false","true","true","true","true","true","true","true","false","false","false","true","true","true","false","false","true","true","true","true","true","false","false","true","false","false","false","true","true","true","false","false","false","false","true","true","false","false","false","false","true","false","true","false","true","true","true","true","true","false","false","false","true","true","true","true","false","false","false","true","false","true","true","true","true","true","false","true","false","true","false","false","true","false","false","true","false","false","true","false","false","false","false","false","true","true","true","true","false","false","false","true","true","false","false","true","true","true","false","40"
"28","true","false","false","false","false","true","true","false","false","true","false","true","false","false","false","false","true","true","true","false","true","true","true","false","true","true","true","false","true","false","false","false","true","false","false","true","false","false","false","true","true","true","false","true","false","true","true","false","true","true","true","true","true","true","false","true","false","false","false","false","true","false","true","true","false","false","true","false","false","true","true","false","true","false","true","false","false","false","false","true","false","true","false","true","true","false","true","true","true","true","true","true","true","false","true","true","false","true","false","false","true","true","true","false","false","false","false","false","false","false","true","true","false","true","false","true","74"
"38","true","true","true","false","true","true","true","false","false","true","false","true","false","false","true","false","true","false","false","true","true","false","false","true","true","true","false","true","false","true","true","false","true","false","true","false","true","true","true","true","true","true","false","false","false","false","false","true","false","true","true","true","false","false","false","true","false","true","false","false","false","false","false","false","true","true","false","true","false","false","true","false","false","true","false","true","true","false","false","true","false","false","true","false","false","true","true","false","true","false","false","true","false","true","false","false","true","true","true","false","true","false","true","true","false","false","false","false","true","true","true","true","true","false","true","false","60"
"64","true","false","false","true","true","false","false","true","false","false","true","false","true","true","true","false","true","false","false","true","false","true","true","true","true","true","true","false","false","false","true","false","true","false","true","true","false","true","false","true","false","false","false","false","false","true","true","true","true","false","false","false","false","false","false","true","true","true","true","false","true","true","false","true","true","false","true","false","true","true","false","false","true","true","false","true","false","false","false","false","true","true","false","false","false","true","true","false","true","true","false","true","true","false","true","true","false","false","true","true","true","false","false","false","true","false","true","false","false","true","true","false","true","false","false","false","35"
"84","true","true","true","false","false","false","false","true","false","false","false","true","false","false","true","true","false","false","false","false","true","false","true","true","true","false","false","true","false","false","false","false","false","true","true","true","false","false","false","true","true","true","true","true","false","false","false","false","true","true","false","false","false","true","false","true","true","true","true","false","false","true","true","true","true","false","true","true","false","false","true","true","true","false","false","false","true","true","false","false","true","false","true","false","true","true","false","true","false","false","true","false","false","false","true","true","true","false","false","true","true","true","false","false","true","true","true","false","true","false","true","false","true","true","true","true","31"
